L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.8882048237,0.9033706133,0.9055220480,0.9035733550,0.1728227901,0.2281470540,0.2293625866,0.2284708546,0.1788283659,0.2413072949,0.2479489584,0.2433619350,0.2254049525,0.3230779992,0.3148150005,0.3021770913,0.0000000000,0.5528587927,0.5771708157,0.5399041508,0.3497362567,0.0475938242,0.0267830394,0.0650027179
0.8840864548,0.9003241666,0.9025867846,0.9003723236,0.1706459142,0.2230910471,0.2242313683,0.2234303367,0.1762507045,0.2349540175,0.2415980544,0.2363278757,0.2242412958,0.3229181239,0.3162785569,0.3027937184,0.0040609351,0.5222269069,0.5456977671,0.5069807510,0.3670117690,0.0461126479,0.0259242246,0.0687624570
0.8796072321,0.8969571494,0.8993432516,0.8968595888,0.1686260406,0.2177909076,0.2188653281,0.2181386001,0.1740294400,0.2288865277,0.2355401565,0.2295715755,0.2229566189,0.3226982953,0.3175917479,0.3034103454,0.0082481168,0.4907517736,0.5132076855,0.4729384506,0.3859785597,0.0453573460,0.0257844175,0.0739037869
0.8747693625,0.8932541497,0.8957801078,0.8930280665,0.1668567026,0.2123102331,0.2133321438,0.2126592061,0.1722640321,0.2233026783,0.2299657183,0.2232957233,0.2215695401,0.3224285058,0.3186844031,0.3040170269,0.0125110466,0.4589283423,0.4802045061,0.4382921420,0.4066541095,0.0455633375,0.0265833150,0.0807211451
0.8695805708,0.8892090027,0.8918880744,0.8888767446,0.1654325469,0.2067218529,0.2077076969,0.2070637874,0.1710788052,0.2183636830,0.2250358932,0.2176654731,0.2200893688,0.3220987630,0.3195164249,0.3046038171,0.0167739763,0.4272698942,0.4471738393,0.4035864227,0.4290078271,0.0469954682,0.0285705726,0.0895316180
0.8640574100,0.8848206809,0.8876661202,0.8844106833,0.1644393125,0.2011037256,0.2020709449,0.2014300300,0.1705234890,0.2141867878,0.2208605585,0.2128234579,0.2185533420,0.3216890825,0.3200276672,0.3051508250,0.0209737828,0.3962713791,0.4146196205,0.3693361850,0.4529785291,0.0498989661,0.0319858595,0.1006409676
0.8582153293,0.8800953492,0.8831152764,0.8796369668,0.1639571707,0.1955348351,0.1965028963,0.1958396558,0.1706229486,0.2108525996,0.2175056404,0.2088297337,0.2170080060,0.3211894722,0.3202181301,0.3056779417,0.0250515507,0.3663635864,0.3829816476,0.3360761248,0.4784613300,0.0545484865,0.0370488726,0.1143209821
0.8520752960,0.8750412272,0.8782417288,0.8745667273,0.1640484770,0.1900941654,0.1910825086,0.1903743866,0.1713606074,0.2083611182,0.2149711389,0.2057068216,0.2155092162,0.3205899398,0.3200878134,0.3061752215,0.0289525733,0.3379314770,0.3526630689,0.3042518219,0.5053207529,0.0611598297,0.0439593361,0.1308547744
0.8456604840,0.8696696172,0.8730537255,0.8692171692,0.1647677925,0.1848607008,0.1858877141,0.1851149351,0.1726618705,0.2066683765,0.2131984529,0.2034246935,0.2141314467,0.3199004776,0.3196467416,0.3066227734,0.0326347683,0.3112775201,0.3239937329,0.2742692490,0.5334038397,0.0699487964,0.0528970021,0.1504575104
0.8389907568,0.8639979862,0.8675646696,0.8636034729,0.1661496354,0.1799113737,0.1809923432,0.1801410054,0.1744604317,0.2056937676,0.2121216561,0.2019007725,0.2129584807,0.3191011011,0.3189550608,0.3070106517,0.0360602618,0.2866216935,0.2972576759,0.2464551648,0.5625183003,0.0810723324,0.0640216501,0.1732990578
0.8320903922,0.8580438010,0.8617879641,0.8577428427,0.1682162757,0.1753220909,0.1764702263,0.1755302835,0.1766485429,0.2053273733,0.2116235460,0.2010524814,0.2121020294,0.3182317792,0.3180729172,0.3073289109,0.0392080125,0.2641198145,0.2726656344,0.2210769170,0.5924499937,0.0946481471,0.0774331423,0.1995039862
0.8249803572,0.8518286387,0.8557421670,0.8516524832,0.1709732807,0.1711677335,0.1723900669,0.1713584377,0.1791267447,0.2054592753,0.2116088957,0.2007747224,0.2116831130,0.3173124963,0.3170604569,0.3075775508,0.0420653958,0.2438818720,0.2503642078,0.1982929341,0.6229585571,0.1107252859,0.0932113683,0.2290836202
0.8176816187,0.8453730485,0.8494458363,0.8453516226,0.1744128559,0.1675190793,0.1688164667,0.1676981097,0.1818121540,0.2059868831,0.2119824782,0.2009699044,0.2118041333,0.3163932133,0.3160078992,0.3077764627,0.0446197871,0.2259261975,0.2304358582,0.1781824303,0.6537774068,0.1292841308,0.1113862869,0.2619813372
0.8102151439,0.8386996347,0.8429206231,0.8388574655,0.1785082777,0.1644428032,0.1658150526,0.1646189143,0.1846135994,0.2068369179,0.2126563919,0.2015779715,0.2126233476,0.3155238914,0.3149954389,0.3079554835,0.0468753945,0.2102344595,0.2128714232,0.1607355038,0.6846268481,0.1502363997,0.1319079670,0.2980159449
0.8026007963,0.8318340842,0.8361871475,0.8321872163,0.1832216873,0.1620035286,0.1634432485,0.1621864306,0.1874813513,0.2079507566,0.2135866858,0.2025088395,0.2142524670,0.3147744759,0.3141233197,0.3081543955,0.0488490510,0.1967150006,0.1976067656,0.1458531369,0.7152097054,0.1734545740,0.1546865326,0.3369156550
0.7948584393,0.8247979738,0.8292680915,0.8253601034,0.1885007505,0.1602597243,0.1617574525,0.1604591754,0.1903656798,0.2092624482,0.2147147587,0.2037249735,0.2168032024,0.3142049202,0.3134617120,0.3084328722,0.0505617978,0.1852669979,0.1845502607,0.1333769011,0.7452156926,0.1987130442,0.1795821766,0.3783180830
0.7870057295,0.8176159628,0.8221881991,0.8183923191,0.1942819984,0.1592667816,0.1608079105,0.1594926390,0.1932251434,0.2107426813,0.2160039849,0.2051588106,0.2203779557,0.3138751774,0.3130807863,0.3088306961,0.0520388840,0.1757254679,0.1735186593,0.1230988593,0.7743607449,0.2257469641,0.2063851884,0.4217589237
0.7790592198,0.8103106554,0.8149691215,0.8113041041,0.2004963945,0.1590708600,0.1606438428,0.1593342400,0.1960431655,0.2123474884,0.2174323889,0.2067878297,0.2250139639,0.3138551929,0.3130607376,0.3094075408,0.0533097673,0.1679254276,0.1643470373,0.1147615653,0.8023651675,0.2542620603,0.2348758713,0.4667172495
0.7710354630,0.8029015736,0.8076314786,0.8041106385,0.2070704484,0.1597109388,0.1613042154,0.1600213082,0.1988031694,0.2140548859,0.2189633450,0.2085519747,0.2307112270,0.3142149124,0.3134516876,0.3102230798,0.0544081135,0.1616743964,0.1568246580,0.1081174747,0.8289929683,0.2839150138,0.2647546386,0.5126381591
0.7629488051,0.7954102942,0.8001979524,0.7968291269,0.2139351235,0.1612167651,0.1628259436,0.1615831020,0.2014968670,0.2158502180,0.2205822028,0.2104362318,0.2374418172,0.3150142889,0.3143037581,0.3113469323,0.0553675883,0.1567982255,0.1507591098,0.1029091413,0.8540387464,0.3143526965,0.2957119176,0.5589214532
0.7548124884,0.7878532568,0.7926860701,0.7894747495,0.2210280644,0.1636068029,0.1652315867,0.1640387906,0.2041408348,0.2177041732,0.2222743122,0.2123880519,0.2450754050,0.3163532445,0.3156971441,0.3128586631,0.0562260657,0.1531044344,0.1459304936,0.0988890209,0.8773364333,0.3451827438,0.3273582456,0.6048989853
0.7466386518,0.7802469009,0.7851133587,0.7820616748,0.2282980505,0.1668841293,0.1685334498,0.1673914009,0.2067184962,0.2196094237,0.2240176976,0.2143849139,0.2534816608,0.3183217091,0.3177120403,0.3148477826,0.0570130034,0.1504188741,0.1421647227,0.0958293726,0.8987680327,0.3759931729,0.3592642154,0.6499365827
0.7384372269,0.7726035561,0.7774952832,0.7746030589,0.2357105635,0.1710343837,0.1727233295,0.1716278169,0.2092630043,0.2215439856,0.2258050338,0.2164042970,0.2624650903,0.3210295969,0.3204587147,0.3174038012,0.0577494424,0.1485857271,0.1392602230,0.0935123574,0.9182373995,0.4063523826,0.3909504883,0.6933774234
0.7302170420,0.7649355520,0.7698431846,0.7671100343,0.2432377661,0.1760308961,0.1777807173,0.1767228159,0.2117577827,0.2234858755,0.2276143456,0.2184011591,0.2718115807,0.3245568457,0.3240173622,0.3206261748,0.0584648403,0.1474400103,0.1370612327,0.0917696451,0.9356833507,0.4358287721,0.4218977811,0.7345533611
0.7219858219,0.7572531633,0.7621694349,0.7595917091,0.2508685234,0.1818336616,0.1836707489,0.1826340237,0.2142276962,0.2254131096,0.2294236573,0.2203529792,0.2813256377,0.3289933852,0.3284681777,0.3245745771,0.0591760300,0.1468625690,0.1354303149,0.0904428074,0.9510621840,0.4639809311,0.4516067826,0.7728981700
0.7137490841,0.7495615274,0.7544833132,0.7520551674,0.2585961544,0.1883944691,0.1903452293,0.1893120036,0.2166727448,0.2273183600,0.2312183187,0.2222447432,0.2908024576,0.3343891764,0.3338612829,0.3293186271,0.0598956361,0.1467159172,0.1342300327,0.0894229246,0.9643476779,0.4903968768,0.4795681959,0.8078569487
0.7055123463,0.7418668091,0.7467899745,0.7445064815,0.2664228863,0.1956579271,0.1977508365,0.1966962210,0.2191012167,0.2291869710,0.2329763544,0.2240539303,0.3000651648,0.3407442195,0.3401866536,0.3348782162,0.0606320751,0.1469175634,0.1333595991,0.0886010773,0.9755310920,0.5147136719,0.5053526134,0.8389880413
0.6972767120,0.7341741458,0.7390956048,0.7369507114,0.2743498323,0.2035706959,0.2058301468,0.2047261413,0.2215379770,0.2310042868,0.2346904392,0.2257580194,0.3089555018,0.3480285377,0.3474242409,0.3412433986,0.0613937634,0.1473666844,0.1327365518,0.0878980513,0.9846036859,0.5365978067,0.5285805588,0.8659177387
0.6890454919,0.7264845648,0.7314032971,0.7293919052,0.2823814466,0.2120814870,0.2145257366,0.2133422387,0.2239747373,0.2327703074,0.2363532480,0.2273645174,0.3173617576,0.3561621935,0.3554537526,0.3483843377,0.0621807011,0.1479899544,0.1322967537,0.0872643378,0.9915741999,0.5557942440,0.5489624318,0.8883855771
0.6808197894,0.7188011487,0.7237161445,0.7218320870,0.2905221830,0.2211410635,0.2237842837,0.2224859963,0.2264363624,0.2344703770,0.2379647807,0.2288509035,0.3251815304,0.3650252803,0.3641448720,0.3562115230,0.0629970963,0.1487415446,0.1319760677,0.0866603295,0.9964557449,0.5721068016,0.5662785356,0.9061990397
0.6725985010,0.7111238974,0.7160341468,0.7142742929,0.2987720416,0.2307063433,0.2335565680,0.2321059598,0.2289311408,0.2361191514,0.2395250374,0.2302321915,0.3323589648,0.3744878994,0.3733372094,0.3646155529,0.0638429491,0.1495847922,0.1317378437,0.0860464195,0.9992570612,0.5853883428,0.5804090355,0.9193128284
0.6643816267,0.7034538384,0.7083573041,0.7067185228,0.3071343628,0.2407362957,0.2437974707,0.2421587460,0.2314756490,0.2377166306,0.2410413431,0.2315158886,0.3388568237,0.3843601990,0.3828202532,0.3734671348,0.0647140513,0.1504738685,0.1315454321,0.0854127060,1.0000000000,0.5955702038,0.5912840280,0.9277042943
0.6561691665,0.6957909716,0.7006866475,0.6991668008,0.3156080332,0.2511980962,0.2544700766,0.2526070252,0.2340864635,0.2392554868,0.2425210232,0.2327019946,0.3446471793,0.3944423350,0.3923834919,0.3825673566,0.0656104027,0.1513996077,0.1313713453,0.0847591888,0.9987064124,0.6026131481,0.5989234856,0.9314980069
0.6479600170,0.6881332422,0.6930211459,0.6916191268,0.3241952797,0.2620609716,0.2655446485,0.2634215390,0.2367552962,0.2407577034,0.2439787278,0.2338130307,0.3497486502,0.4045444553,0.4018264382,0.3917272519,0.0665277953,0.1523253469,0.1311972586,0.0840561629,0.9953981496,0.6065466031,0.6033773393,0.9308525095
0.6397541780,0.6804827051,0.6853587372,0.6840765131,0.3328983293,0.2732992779,0.2769934998,0.2745760557,0.2395070119,0.2422232807,0.2454071318,0.2348565037,0.3541798548,0.4144467315,0.4109085077,0.4007479089,0.0674662290,0.1532602519,0.1309956845,0.0833135298,0.9901058032,0.6074196143,0.6047354651,0.9260056170
0.6315483390,0.6728393603,0.6776994216,0.6765379474,0.3417194090,0.2848894223,0.2887930460,0.2860524149,0.2423416106,0.2436522185,0.2468208855,0.2358549347,0.3579780302,0.4239193429,0.4194492617,0.4093806876,0.0684130792,0.1541768254,0.1307757855,0.0825213878,0.9828555945,0.6053400820,0.6031276838,0.9172064686
0.6233447070,0.6652011528,0.6700431990,0.6690044418,0.3506629728,0.2968129411,0.3009217530,0.2978324563,0.2452590923,0.2450591727,0.2482199889,0.2368008168,0.3611897226,0.4327424609,0.4272381888,0.4174067849,0.0693725540,0.1550659016,0.1305100741,0.0816797370,0.9736955961,0.6004159065,0.5987137750,0.9047834753
0.6151410751,0.6575701376,0.6623890384,0.6614759963,0.3597379286,0.3090534220,0.3133591125,0.3099040728,0.2482511687,0.2464368153,0.2496044420,0.2377091638,0.3638707876,0.4406962569,0.4341249236,0.4245974519,0.0703362370,0.1559274807,0.1301985505,0.0808083809,0.9626563995,0.5928040335,0.5916535181,0.8890423990
0.6069374432,0.6499463147,0.6547369398,0.6539526110,0.3689520709,0.3215985557,0.3260835905,0.3222521308,0.2513095514,0.2477851464,0.2509669196,0.2385799758,0.3660770806,0.4475908791,0.4399390519,0.4307736680,0.0713083365,0.1567432311,0.1298320521,0.0798974176,0.9497904476,0.5826712181,0.5821066928,0.8703229752
0.5987360183,0.6423307116,0.6470869032,0.6464363098,0.3783176479,0.3344360332,0.3390746785,0.3348625056,0.2544010874,0.2490968380,0.2523074218,0.2394132529,0.3678830758,0.4532164911,0.4446003789,0.4357564124,0.0722804360,0.1575039871,0.1293830916,0.0789666508,0.9351501829,0.5701940243,0.5702430646,0.8489422903
0.5905412146,0.6347223007,0.6394399596,0.6389240567,0.3878469083,0.3475566224,0.3523087919,0.3477240992,0.2575009117,0.2503718902,0.2536186235,0.2402165019,0.3693353193,0.4574132177,0.4479886123,0.4393965011,0.0732693683,0.1581914172,0.1288608314,0.0780061787,0.9187967888,0.5555784435,0.5562423855,0.8252174307
0.5823530321,0.6271221096,0.6317950780,0.6314188878,0.3975532138,0.3609500656,0.3657695238,0.3608227869,0.2605675828,0.2516029751,0.2548858742,0.2409822159,0.3704803575,0.4600111913,0.4500436060,0.4415944782,0.0742667172,0.1587963557,0.1282561091,0.0770259030,0.9007914483,0.5390402762,0.5403043800,0.7994654829
0.5741758848,0.6195301382,0.6241522584,0.6239187790,0.4074521533,0.3746112342,0.3794414929,0.3741494883,0.2635762358,0.2527754369,0.2561164992,0.2417103949,0.3713647365,0.4609104898,0.4506751406,0.4422409420,0.0752893153,0.1593096369,0.1275505997,0.0760357256,0.8812040853,0.5207953230,0.5226187861,0.7719695597
0.5660119799,0.6119463866,0.6165135628,0.6164247424,0.4175593157,0.3885319219,0.3933134196,0.3876920966,0.2664854292,0.2538819478,0.2572958481,0.2424010390,0.3720163843,0.4600211835,0.4498230701,0.4412861647,0.0763287464,0.1597129292,0.1267443032,0.0750356464,0.8601133637,0.5010691935,0.5034152869,0.7430127741
0.5578646279,0.6043718823,0.6088789913,0.6089347538,0.4278891764,0.4027039225,0.4073760750,0.4014445583,0.2692537214,0.2549298355,0.2584092707,0.2430691620,0.3724259914,0.4572933112,0.4474472969,0.4386804181,0.0773976350,0.1599879012,0.1258463822,0.0740355672,0.8375979477,0.4800874973,0.4829535241,0.7128555898
0.5497382430,0.5968045702,0.6012495747,0.6014508374,0.4384573243,0.4171180043,0.4216253575,0.4153988022,0.2718396711,0.2559044444,0.2594567670,0.2436922430,0.3726028673,0.4527168808,0.4435077238,0.4344237023,0.0784917729,0.1601253873,0.1248385117,0.0730255862,0.8137496121,0.4580660350,0.4614831532,0.6817697953
0.5416339287,0.5892454779,0.5936253132,0.5939719811,0.4492782348,0.4317659609,0.4360592161,0.4295487748,0.2742184133,0.2568057744,0.2604163615,0.2442852960,0.3725097747,0.4463518456,0.4379843019,0.4285259630,0.0796153684,0.1601253873,0.1237390165,0.0720255070,0.7886601317,0.4352206070,0.4392538297,0.6499932053
0.5335549955,0.5816935778,0.5860082686,0.5864971729,0.4603630428,0.4466354833,0.4506745747,0.4438904404,0.2763319298,0.2576338255,0.2612807290,0.2448408141,0.3721467138,0.4382581586,0.4308770312,0.4210369280,0.0807600050,0.1599512383,0.1225387343,0.0710254278,0.7624256515,0.4117768230,0.4165551539,0.6177976083
0.5255025469,0.5741498975,0.5783994721,0.5790254008,0.4717251101,0.4617204169,0.4654724587,0.4584207723,0.2781636442,0.2583812699,0.2620352193,0.2453512901,0.3714764476,0.4285157577,0.4222159848,0.4120361622,0.0819298910,0.1596212718,0.1212468275,0.0700451521,0.7351466867,0.3879799109,0.3936467675,0.5854208190
0.5174743761,0.5666123820,0.5707989236,0.5715576768,0.4833733448,0.4770125554,0.4804518425,0.4731377526,0.2796721148,0.2590334518,0.2626871575,0.2458167241,0.3704617390,0.4172245648,0.4120412603,0.4016131759,0.0831124016,0.1591171564,0.1198632961,0.0690747782,0.7069324931,0.3641045259,0.3708182708,0.5531346258
0.5094693793,0.5590820588,0.5632076542,0.5640919768,0.4953199952,0.4925067701,0.4956106755,0.4880393637,0.2808407652,0.2596050269,0.2632145683,0.2462296091,0.3690653510,0.4045144787,0.4004430767,0.3898773708,0.0842949123,0.1584388920,0.1183881401,0.0681341096,0.6778923263,0.3404449414,0.3483492780,0.5211881681
0.5014831425,0.5515589279,0.5556266947,0.5566293129,0.5075739692,0.5081979321,0.5109489575,0.5031215697,0.2816530186,0.2600593559,0.2636247766,0.2465749311,0.3672407373,0.3905153980,0.3875216777,0.3769679851,0.0854732147,0.1575773130,0.1168213595,0.0672132446,0.6481485528,0.3173052400,0.3265393757,0.4898872078
0.4935145622,0.5440429893,0.5480550143,0.5491706971,0.5201430614,0.5240798868,0.5264625869,0.5183833619,0.2820922985,0.2604110944,0.2639031322,0.2468601971,0.3649413517,0.3753871980,0.3733973556,0.3630342029,0.0866388924,0.1565415849,0.1151721168,0.0663319867,0.6178104282,0.2950385498,0.3056781641,0.4594922087
0.4855592242,0.5365362979,0.5404957059,0.5417151173,0.5330306121,0.5401454538,0.5421484874,0.5338217134,0.2821337400,0.2606309310,0.2640423101,0.2470703931,0.3621578849,0.3593097384,0.3582305001,0.3482252081,0.0877877372,0.1553133765,0.1134312495,0.0654903359,0.5870090595,0.2739881898,0.2860752162,0.4303089328
0.4776149215,0.5290378263,0.5329477385,0.5342635857,0.5462366214,0.5563854013,0.5580015320,0.5494305708,0.2817856314,0.2607115378,0.2640496352,0.2471980121,0.3588531000,0.3424628790,0.3421815010,0.3327299671,0.0889155410,0.1538926876,0.1116170825,0.0647080957,0.5558711832,0.2544876699,0.2680600771,0.4026657909
0.4696783435,0.5215486019,0.5254131741,0.5268171141,0.5597599758,0.5727863942,0.5740124917,0.5652048896,0.2810313961,0.2606529147,0.2639177825,0.2472280401,0.3550456153,0.3250664482,0.3254508456,0.3167374462,0.0900180954,0.1522795182,0.1097204534,0.0639753644,0.5245322763,0.2368999274,0.2519423196,0.3768685450
0.4617461796,0.5140696522,0.5178909818,0.5193767147,0.5735962213,0.5893299688,0.5901700870,0.5811365984,0.2798627457,0.2604330781,0.2636467520,0.2471604771,0.3507075033,0.3073402746,0.3082490452,0.3004266661,0.0910954004,0.1504647028,0.1077505246,0.0632921420,0.4931409268,0.2215878995,0.2380714614,0.3532795796
0.4538195333,0.5066030321,0.5103832235,0.5119403635,0.5877375634,0.6059976613,0.6064589364,0.5972145993,0.2783045453,0.2600593559,0.2632365437,0.2469953231,0.3458666915,0.2895241711,0.2908166845,0.2840363213,0.0921474561,0.1484390754,0.1057072961,0.0626584284,0.4618457222,0.2089047143,0.2267670615,0.3322499547
