L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.9600374514,0.9637733108,0.9652346433,0.9667069578,0.2876113301,0.3573140742,0.3567546712,0.3560969275,1.0000000000,0.9956692865,0.9961612284,0.9999633467,0.5601987285,0.4270917354,0.4424557524,0.4361209712,0.0543285406,0.8949772487,0.9127278777,0.8904980539,0.1248583704,0.0107595758,0.0583713607,0.1076278369
0.9628048337,0.9658245039,0.9672374552,0.9688600136,0.2825757506,0.3524872421,0.3519110994,0.3512967117,0.9987296555,0.9972855927,0.9976622865,1.0000000000,0.5594306166,0.4271507545,0.4416888278,0.4359505892,0.0507984186,0.9013790513,0.9185506891,0.8945508824,0.1299976411,0.0099718676,0.0569316517,0.1072982390
0.9653307727,0.9677226229,0.9690732949,0.9707990229,0.2772365227,0.3473336939,0.3467486931,0.3461805073,0.9964821229,0.9986304581,0.9988803583,0.9999022578,0.5583928484,0.4270818988,0.4407625422,0.4356192910,0.0469075542,0.9048375968,0.9215978145,0.8959868496,0.1357595022,0.0091495347,0.0553909105,0.1069309728
0.9674927037,0.9693817762,0.9706565353,0.9724249368,0.2716379477,0.3418828256,0.3412996748,0.3407789204,0.9931271105,0.9995928389,0.9997047099,0.9995968136,0.5570527382,0.4268458224,0.4396669356,0.4351176109,0.0426817148,0.9045406510,0.9210987164,0.8940879719,0.1421980920,0.0083098896,0.0537491370,0.1065166212
0.9691828067,0.9707245763,0.9719118249,0.9736521367,0.2658298646,0.3361690727,0.3356013550,0.3351283477,0.9885777570,1.0000000000,1.0000000000,0.9989981429,0.5554021148,0.4264326887,0.4383920479,0.4344076861,0.0381834780,0.8997720504,0.9163791745,0.8882496316,0.1493598147,0.0074442761,0.0520147507,0.1060834354
0.9703126138,0.9716872424,0.9727783686,0.9744126313,0.2598667270,0.3302302299,0.3296901963,0.3292676672,0.9828340626,0.9997285593,0.9995939761,0.9979962858,0.5534409780,0.4258228247,0.4369279190,0.4334800511,0.0335085511,0.8900077730,0.9069225785,0.8779900238,0.1572794735,0.0065786626,0.0501961709,0.1056219983
0.9708148526,0.9722187497,0.9732133530,0.9746636113,0.2538039114,0.3241032524,0.3236052048,0.3232357573,0.9760154613,0.9986057817,0.9983266893,0.9964324113,0.5511856706,0.4250359033,0.4352845091,0.4323347059,0.0287857706,0.8748984707,0.8923786841,0.8629596040,0.1659996056,0.0057217053,0.0482849782,0.1051605613
0.9706498971,0.9722859322,0.9731919463,0.9743807341,0.2476967946,0.3178242553,0.3173819952,0.3170690146,0.9682956754,0.9964836087,0.9960627984,0.9941721239,0.5486933926,0.4240719246,0.4334618181,0.4309716503,0.0241734214,0.8543218718,0.8726073937,0.8430166648,0.1755511472,0.0048820602,0.0462727533,0.1047179584
0.9698057672,0.9718717817,0.9727055858,0.9735631605,0.2415979843,0.3114268341,0.3110527900,0.3107996996,0.9599570037,0.9932509963,0.9926669620,0.9911054638,0.5460131723,0.4229603982,0.4315096463,0.4294003502,0.0198408316,0.8283565795,0.8476524876,0.8182178891,0.1859689014,0.0040683835,0.0441763349,0.1043130238
0.9682916782,0.9709737469,0.9717636904,0.9722285177,0.2355610112,0.3049412247,0.3046464201,0.3044584185,0.9513360333,0.9887969006,0.9880776613,0.9871102532,0.5432512380,0.4217209970,0.4294379538,0.4276397369,0.0159499672,0.7973170071,0.8177854053,0.7887711144,0.1972876716,0.0032893313,0.0419873036,0.1039928430
