L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.1649122603,0.1236241297,0.1242823035,0.1227738896,0.7735031964,0.8075186603,0.8128877948,0.8074497849,0.4752091501,0.4342070802,0.4576796628,0.4393493979,0.3774582168,0.5528471731,0.5432161779,0.5204088964,0.7733596407,0.2586628771,0.2175680486,0.3267656959,0.0408855327,0.1678410535,0.1570642355,0.0979862535
0.1702143715,0.1246126820,0.1252703679,0.1234276107,0.7674517044,0.8019460792,0.8071922797,0.8019960624,0.4720369936,0.4396525383,0.4604487986,0.4424139927,0.3774685400,0.5536462021,0.5447473995,0.5211068119,0.7918265396,0.2811270681,0.2408253873,0.3579774147,0.0413531206,0.1645856742,0.1537224433,0.0963704329
0.1758589664,0.1260463528,0.1267098103,0.1245301710,0.7609913931,0.7959965230,0.8011295624,0.7961747591,0.4679489327,0.4452616875,0.4635378743,0.4457396456,0.3775201561,0.5544654597,0.5463194537,0.5218560447,0.8106712565,0.3048052852,0.2655532867,0.3909082487,0.0418425584,0.1611517742,0.1503179924,0.0947184372
0.1818181818,0.1280137339,0.1286891787,0.1261787309,0.7541572351,0.7897010365,0.7947318149,0.7900142342,0.4628109328,0.4509581387,0.4669579224,0.4493150063,0.3776337115,0.5552948316,0.5479323404,0.5226360679,0.8295453591,0.3294057859,0.2914988479,0.4251979041,0.0423582160,0.1575708570,0.1469030985,0.0930784999
0.1880606718,0.1305904520,0.1312873021,0.1284546097,0.7469938508,0.7830995348,0.7880423026,0.7835548454,0.4565671458,0.4566436772,0.4706427484,0.4531060236,0.3778298527,0.5561242035,0.5495554353,0.5234674084,0.8481046136,0.3546180052,0.3183717053,0.4604037347,0.0428869836,0.1538954288,0.1435299769,0.0914747377
0.1945574124,0.1338337676,0.1345592531,0.1314211727,0.7395446548,0.7762341504,0.7811031816,0.7768358593,0.4492175720,0.4622200882,0.4745482227,0.4570445955,0.3781189028,0.5569738040,0.5511683221,0.5243295393,0.8660131816,0.3800749120,0.3457971938,0.4960007412,0.0434288611,0.1501569933,0.1402612864,0.0899433257
0.2012817015,0.1377847355,0.1385482256,0.1351238321,0.7318578852,0.7691481247,0.7739577174,0.7698976336,0.4408515676,0.4676000698,0.4785640211,0.4610399192,0.3785111852,0.5578638616,0.5527812088,0.5252532510,0.8829730070,0.4053624198,0.3733350818,0.5314330420,0.0439707386,0.1464185578,0.1371179131,0.0885083806
0.2082161246,0.1424628023,0.1432714974,0.1395815974,0.7239769566,0.7618824813,0.7666425193,0.7627805258,0.4315696590,0.4726963202,0.4825798195,0.4649784911,0.3790273462,0.5588146050,0.5543736793,0.5262385434,0.8987196171,0.4300664421,0.4005264045,0.5660932852,0.0445126161,0.1427011247,0.1341311862,0.0871940191
0.2153467502,0.1478712095,0.1487312281,0.1447965808,0.7159452833,0.7544749178,0.7591964154,0.7555194398,0.4215282199,0.4774215374,0.4864742614,0.4687695084,0.3796673859,0.5598361485,0.5559457335,0.5272648897,0.9130347173,0.4537634813,0.4269121972,0.5994255891,0.0450501237,0.1390572002,0.1313219921,0.0860122995
0.2226642906,0.1539959118,0.1549133797,0.1507529410,0.7077966322,0.7469598056,0.7516482492,0.7481470978,0.4109059634,0.4816884194,0.4901370226,0.4723108180,0.3804313041,0.5609386063,0.5575279958,0.5283425533,0.9257252005,0.4760676843,0.4520428617,0.6308740722,0.0455745213,0.1355077867,0.1286798876,0.0849873387
