L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.7431108630,0.7679917679,0.7655482824,0.7626986537,0.2260753711,0.2786288707,0.2780190951,0.2855445493,0.4291040436,0.4677850178,0.4581427161,0.4367834551,0.3446638207,0.3251261405,0.3281674514,0.3005836332,0.0488337613,0.4237052045,0.4262458504,0.4091647306,0.0619432290,0.0658908515,0.0267783642,0.0384853360
0.7452873843,0.7697551470,0.7677200233,0.7655591559,0.2224138524,0.2751739589,0.2745479732,0.2821365350,0.4319794265,0.4564813531,0.4481143613,0.4267284066,0.3443970117,0.3252931559,0.3276957080,0.3006587791,0.0466168086,0.4337813636,0.4345015147,0.4139692780,0.0628402655,0.0653155914,0.0263812890,0.0384065878
0.7473160213,0.7713756701,0.7697614824,0.7682971124,0.2185045973,0.2714865376,0.2708437078,0.2784965789,0.4349775785,0.4446970747,0.4376149365,0.4162718700,0.3440635005,0.3254162198,0.3272239646,0.3007422746,0.0443203450,0.4425912191,0.4414989886,0.4175106580,0.0638947604,0.0647214704,0.0259454748,0.0382940905
0.7491073281,0.7727763288,0.7715933577,0.7708142661,0.2143724982,0.2675880517,0.2669255389,0.2746454681,0.4380403458,0.4325615786,0.4267803274,0.4055387525,0.3436566169,0.3254777518,0.3267609571,0.3008007214,0.0419724331,0.4495739793,0.4467349961,0.4193941308,0.0651210283,0.0641179189,0.0254709215,0.0381703435
0.7505825921,0.7738901593,0.7731408788,0.7730189835,0.2100471884,0.2635044611,0.2628217607,0.2706083661,0.4411095747,0.4202504737,0.4157373604,0.3946985716,0.3431696905,0.3254689615,0.3263154216,0.3008508187,0.0396338754,0.4542231227,0.4497449745,0.4192136783,0.0665572409,0.0635237978,0.0249673139,0.0380128472
0.7516738343,0.7746602426,0.7743428700,0.7748295677,0.2055583016,0.2592628543,0.2585584036,0.2664137187,0.4440948036,0.4079578539,0.4046581572,0.3839208444,0.3426027215,0.3253722684,0.3258873581,0.3008842169,0.0373841829,0.4560863981,0.4501224316,0.4166083956,0.0682224841,0.0629296768,0.0244249673,0.0378328515
0.7523273870,0.7750464003,0.7751494842,0.7761775697,0.2009413979,0.2548914485,0.2541660253,0.2620877834,0.4469184942,0.3958500855,0.3937057806,0.3733572442,0.3419557097,0.3252140434,0.3254680306,0.3008925664,0.0352981895,0.4547748693,0.4475286238,0.4112963255,0.0701501582,0.0623449863,0.0238632512,0.0376416060
0.7525062791,0.7750218469,0.7755312665,0.7770122049,0.1962272963,0.2504173321,0.2496706565,0.2576590060,0.4494708003,0.3841120200,0.3830342341,0.3631683663,0.3412486660,0.3249767058,0.3250749111,0.3008758673,0.0334694374,0.4500443206,0.4417506267,0.4030519026,0.0723688919,0.0617697262,0.0232627960,0.0374166114
0.7521890437,0.7745743058,0.7754700907,0.7773036648,0.1914456302,0.2458653363,0.2450971959,0.2531503618,0.4516612605,0.3729007810,0.3727884624,0.3534969621,0.3404949306,0.3246866265,0.3246817916,0.3008257700,0.0319634062,0.4417590767,0.4326722995,0.3917961789,0.0749073142,0.0612133272,0.0226332865,0.0371691172
0.7513732955,0.7737071251,0.7749636910,0.7770409093,0.1866272185,0.2412580348,0.2404705424,0.2485837321,0.4534317210,0.3623550072,0.3631043511,0.3444768609,0.3397145144,0.3243350152,0.3242886720,0.3007506241,0.0308408986,0.4299372275,0.4202936423,0.3775742675,0.0777988253,0.0606569281,0.0219940923,0.0369103734
