L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.2027856722,0.2803024617,0.2843334056,0.2892870492,0.8126537095,0.8280722183,0.8264413257,0.8244963623,0.9146710578,0.6256652056,0.6512645234,0.7489531721,0.6790219662,0.6588870339,0.6497652794,0.6805660672,0.1071600314,0.0454507926,0.0234604740,0.0087980467,0.0781104838,0.6908902761,0.6940671989,0.6350825625
0.1988243337,0.2765179990,0.2804824583,0.2855648448,0.8187356914,0.8333770500,0.8320204152,0.8309373067,0.9157531561,0.6270042001,0.6522677430,0.7498560964,0.6732395957,0.6763383417,0.6685204156,0.6977691282,0.1095559886,0.0448418923,0.0228658537,0.0082108235,0.0760590379,0.7195647094,0.7224380577,0.6664402426
0.1946082900,0.2724813207,0.2763778189,0.2815930605,0.8249916340,0.8388020003,0.8377506203,0.8375659202,0.9169371912,0.6283889722,0.6533642854,0.7508041670,0.6674120504,0.6948358375,0.6882437042,0.7161374803,0.1121628576,0.0442433124,0.0222279882,0.0076339024,0.0739277202,0.7492850864,0.7518501517,0.6988106559
0.1901643520,0.2682158030,0.2720416548,0.2773943853,0.8313166296,0.8442490133,0.8435332284,0.8442712538,0.9182388458,0.6298080775,0.6545541505,0.7517860972,0.6616861483,0.7141791875,0.7087099934,0.7355269639,0.1149764201,0.0436756935,0.0215576890,0.0070878877,0.0717375494,0.7795951976,0.7818668339,0.7316750855
0.1855246930,0.2637497432,0.2675059852,0.2729974791,0.8375978031,0.8496175814,0.8492634334,0.8509329160,0.9196424371,0.6312157383,0.6558256731,0.7528018871,0.6561974137,0.7341346689,0.7296153283,0.7556973126,0.1179966760,0.0431287153,0.0208657672,0.0065727796,0.0694927296,0.8099609440,0.8119618886,0.7644283615
0.1807228270,0.2591114386,0.2628003665,0.2684321961,0.8437262630,0.8548059716,0.8548364296,0.8574293349,0.9211636478,0.6326233992,0.6571671877,0.7538289636,0.6511378395,0.7544017807,0.7506670119,0.7763722204,0.1212151890,0.0426333388,0.0201522228,0.0060988802,0.0672016681,0.8398370998,0.8415643159,0.7964653139
0.1757869055,0.2543328777,0.2579543551,0.2637283901,0.8495944460,0.8597234820,0.8601486295,0.8636436601,0.9228024778,0.6340081713,0.6585903598,0.7548673266,0.6466542436,0.7746577629,0.7715385741,0.7972033013,0.1246319590,0.0421792437,0.0194494897,0.0056764915,0.0648517536,0.8686561850,0.8701255080,0.8272054737
0.1707504424,0.2494386667,0.2529975074,0.2589159154,0.8551014283,0.8642867649,0.8651074139,0.8694673031,0.9245510860,0.6353814990,0.6600601932,0.7559056896,0.6429273251,0.7945353367,0.7918922874,0.8178421691,0.1282301131,0.0417767503,0.0187467566,0.0052953115,0.0624261711,0.8958618464,0.8970632690,0.8560436710
0.1656375677,0.2444558727,0.2479569167,0.2540174610,0.8601608937,0.8684247297,0.8696299131,0.8748011180,0.9264094723,0.6367090491,0.6615766880,0.7569440526,0.6400700209,0.8137117418,0.8114129395,0.8378803715,0.1320096513,0.0414155383,0.0180656461,0.0049656423,0.0599039015,0.9208754771,0.9218177950,0.8824117872
0.1604764331,0.2394066415,0.2428547502,0.2490569102,0.8646931653,0.8720785429,0.8736454439,0.8795613029,0.9283697953,0.6380137104,0.6631165135,0.7579598424,0.6381952679,0.8318642181,0.8297853179,0.8569575089,0.1359663554,0.0411059280,0.0174277807,0.0046874839,0.0572555185,0.9432074863,0.9438852626,0.9058405069
0.1552858062,0.2343081975,0.2377144068,0.2440533695,0.8686331742,0.8752028534,0.8770967286,0.8836782195,0.9304085313,0.6392725941,0.6646680043,0.7589530592,0.6373821221,0.8486922649,0.8467504981,0.8747131822,0.1400960070,0.0408272787,0.0168439716,0.0044505342,0.0544600031,0.9623571564,0.9627842404,0.9258481641
0.1500857955,0.2291789955,0.2325506645,0.2390223631,0.8719264744,0.8777645675,0.8799398950,0.8870987541,0.9325178389,0.6404857002,0.6661961644,0.7599011298,0.6376757581,0.8639621592,0.8620833286,0.8908590719,0.1443901698,0.0406002312,0.0163358415,0.0042650952,0.0514879288,0.9779127861,0.9781340618,0.9420642468
0.1448911470,0.2240313387,0.2273795332,0.2339758325,0.8745372116,0.8797416223,0.8821469136,0.8897874972,0.9346898769,0.6416530288,0.6677126592,0.7608040541,0.6390874696,0.8774958264,0.8756149456,0.9051549116,0.1488572803,0.0403938243,0.0159033904,0.0041414693,0.0483224806,0.9895294366,0.9895876485,0.9541923452
0.1397139257,0.2188750697,0.2222108649,0.2289245254,0.8764388269,0.8811278896,0.8837031603,0.8917232035,0.9368932800,0.6427745797,0.6691941580,0.7616731188,0.6415833757,0.8891708403,0.8872440307,0.9174325152,0.1534931201,0.0402183785,0.0155574295,0.0040693542,0.0449552507,0.9969400585,0.9969322749,0.9620101520
0.1345635155,0.2137188006,0.2170532803,0.2238744123,0.8776220247,0.8819245949,0.8846086350,0.8929046924,0.9391123657,0.6438503531,0.6706289954,0.7624857507,0.6451070077,0.8989315526,0.8969368112,0.9275957761,0.1583019075,0.0400635733,0.0153087701,0.0040487498,0.0413862393,1.0000000000,1.0000000000,0.9654188640
0.1294479597,0.2085674529,0.2119104738,0.2188302701,0.8780894609,0.8821452210,0.8848755246,0.8933437673,0.9413392927,0.6448917932,0.6720055060,0.7632419499,0.6495906036,0.9068002226,0.9047270599,0.9356567076,0.1632878608,0.0399190885,0.0151357897,0.0041002606,0.0376364653,0.9986202446,0.9987796276,0.9643937803
0.1243739611,0.2034271780,0.2067849085,0.2137980695,0.8778623825,0.8818142819,0.8845294212,0.8930687553,0.9435505371,0.6458760114,0.6733120246,0.7639304297,0.6549212265,0.9128436283,0.9106710646,0.9416513497,0.1684509799,0.0397746037,0.0150384882,0.0042032823,0.0337311513,0.9928453005,0.9932935499,0.9590337043
0.1193482224,0.1982979760,0.2016790475,0.2087766164,0.8769713324,0.8809648714,0.8836056663,0.8921209675,0.9457147338,0.6468144520,0.6745368858,0.7645624767,0.6609859394,0.9171953255,0.9149376893,0.9457118487,0.1738081378,0.0396404392,0.0150060543,0.0043784190,0.0297165389,0.9827975654,0.9837097081,0.9495238919
0.1143707437,0.1931835378,0.1965916592,0.2037682990,0.8754601325,0.8796386635,0.8821530070,0.8905523372,0.9478318827,0.6476842262,0.6756450936,0.7651155179,0.6676492179,0.9200445186,0.9176845400,0.9480184044,0.1793593345,0.0394856341,0.0150168656,0.0046359731,0.0256556850,0.9687107076,0.9702632198,0.9360990009
0.1094495683,0.1880826332,0.1915202806,0.1987731175,0.8733858845,0.8778846861,0.8802250647,0.8884277816,0.9498784600,0.6485082228,0.6766249825,0.7655895532,0.6747981252,0.9216026711,0.9191480260,0.9487992696,0.1851172247,0.0393101882,0.0150709220,0.0049656423,0.0216242575,0.9508740306,0.9532563790,0.9191048426
0.1045846962,0.1829952620,0.1864636802,0.1937922659,0.8708110017,0.8757593215,0.8778864293,0.8858192995,0.9518387830,0.6492635530,0.6774648873,0.7659732960,0.6822971370,0.9221035058,0.9195532990,0.9483187372,0.1910944631,0.0391141017,0.0151574122,0.0053777288,0.0177063322,0.9296436003,0.9330474602,0.8988995789
0.0997801491,0.1779214244,0.1814218579,0.1888233559,0.8678071932,0.8733226289,0.8752065652,0.8828059714,0.9537050106,0.6499387725,0.6781414773,0.7662893195,0.6900333164,0.9218141347,0.9191705412,0.9468771399,0.1973037045,0.0388870542,0.0152547137,0.0058825347,0.0139943922,0.9054311179,0.9100283261,0.8758784226
0.0950412891,0.1728586597,0.1763948138,0.1838663876,0.8644514796,0.8706395705,0.8722561555,0.8794680585,0.9554693013,0.6505338811,0.6786780832,0.7665263372,0.6978824327,0.9209794101,0.9182586768,0.9447748105,0.2037618216,0.0386187252,0.0153844491,0.0064800602,0.0105851245,0.8786594118,0.8846132315,0.8504365868
0.0903707974,0.1678094284,0.1713850110,0.1789225550,0.8608182258,0.8677702057,0.8691107580,0.8758893626,0.9571238140,0.6510259902,0.6790630395,0.7666730624,0.7057541363,0.9198664441,0.9170653728,0.9423120818,0.2104856875,0.0383194353,0.0155358070,0.0072012115,0.0075668086,0.8497624373,0.8572052353,0.8229816349
