L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.8388723933,0.8663401728,0.8707680814,0.8637189755,0.0220944420,0.0769125499,0.0756114776,0.0737269098,0.6359708981,0.4050123171,0.4209649073,0.4654173261,0.4759990851,0.7600348280,0.7598393879,0.7030662366,0.0304589397,0.2290929181,0.2405063291,0.0956931200,0.4397258003,0.0366727513,0.0204706333,0.1113830020
0.8339757948,0.8619674069,0.8664055646,0.8591830224,0.0224169797,0.0730161874,0.0717644901,0.0696997960,0.6375025773,0.4038537249,0.4191847610,0.4674211287,0.4798331318,0.7619752472,0.7607863934,0.7063452762,0.0318998619,0.2132655358,0.2232511080,0.0890732130,0.4585712468,0.0402652633,0.0240149829,0.1236617872
0.8286984325,0.8572478820,0.8616944088,0.8543104207,0.0230270231,0.0689718476,0.0677441048,0.0654870158,0.6388673428,0.4025938966,0.4172572141,0.4694932429,0.4838305613,0.7636171404,0.7614177305,0.7095975481,0.0333487670,0.1973563054,0.2059848893,0.0827389865,0.4788663431,0.0449840764,0.0284957659,0.1379069259
0.8230589105,0.8521951082,0.8566470651,0.8491242739,0.0239934284,0.0648373864,0.0636025632,0.0611428578,0.6400259207,0.4012103351,0.4151709281,0.4715653570,0.4879369125,0.7648485602,0.7616828920,0.7127561331,0.0347697319,0.1816926193,0.1891035863,0.0768677595,0.5005301246,0.0510136710,0.0340539506,0.1543259777
0.8170820341,0.8468316024,0.8512850408,0.8436476853,0.0253778041,0.0606739973,0.0593965532,0.0567259532,0.6409292187,0.3997480343,0.4129712569,0.4736260859,0.4921086168,0.7655824367,0.7614934909,0.7157674960,0.0361427990,0.1665814082,0.1729371268,0.0716269998,0.5234430723,0.0584899798,0.0408405747,0.1731046537
0.8107963298,0.8411810071,0.8456332384,0.8379103591,0.0272320943,0.0565428739,0.0551872086,0.0523003625,0.6415674184,0.3982519882,0.4107262316,0.4756640443,0.4963021055,0.7657316997,0.7608242736,0.7185781014,0.0374360366,0.1522682163,0.1577494529,0.0670758137,0.5474625347,0.0675295169,0.0489865375,0.1944068167
0.8042352848,0.8352737201,0.8397210887,0.8319442000,0.0295985794,0.0525040972,0.0510345517,0.0479323176,0.6419699752,0.3967896874,0.4085265605,0.4776564617,0.5004738098,0.7652714721,0.7596499867,0.7212013330,0.0386414618,0.1389474330,0.1437275237,0.0632240523,0.5724227271,0.0782002486,0.0585723923,0.2183198602
0.7974323865,0.8291412649,0.8335791541,0.8257789122,0.0325074594,0.0486144103,0.0469997166,0.0436847928,0.6421565258,0.3954511198,0.4064516129,0.4796033382,0.5045801610,0.7641644381,0.7579706302,0.7236104233,0.0397471002,0.1267622926,0.1309923127,0.0600520136,0.5981462990,0.0905118844,0.0696786926,0.2449202534
0.7904198821,0.8228129134,0.8272379971,0.8194442000,0.0359804786,0.0449283312,0.0431405023,0.0396240202,0.6421761628,0.3942587822,0.4045920971,0.4815046736,0.5086211591,0.7624479134,0.7558114575,0.7258321399,0.0407449687,0.1157741810,0.1195878103,0.0574808890,0.6244404776,0.1044255865,0.0823356459,0.2741861481
0.7832300186,0.8163168116,0.8207247845,0.8129675673,0.0400248849,0.0414959273,0.0395180428,0.0358129743,0.6420681597,0.3932801656,0.4029820285,0.4833604682,0.5125968042,0.7601716525,0.7532482291,0.7278798667,0.0416390590,0.1060035604,0.1095250140,0.0554318701,0.6511047796,0.1198636787,0.0965231138,0.3060956959
0.7758900820,0.8096811056,0.8140689468,0.8063732177,0.0446370544,0.0383694913,0.0361901374,0.0323157153,0.6418619721,0.3925152698,0.4016554226,0.4851479512,0.5165506650,0.7574102867,0.7503188252,0.7297937551,0.0424253794,0.0974299687,0.1007489360,0.0538458507,0.6779271551,0.1367096474,0.1122008196,0.3404959581
0.7684285987,0.8029271862,0.8072953868,0.7996842545,0.0498012829,0.0355979782,0.0332112509,0.0291887032,0.6415968738,0.3919753434,0.4006122796,0.4868557376,0.5205372022,0.7542633248,0.7471242598,0.7316407243,0.0431198959,0.0900022508,0.0931825930,0.0526440224,0.7046878434,0.1548081404,0.1292982792,0.3772012235
0.7608666533,0.7960798221,0.8004244794,0.7929193804,0.0554861623,0.0332336805,0.0306369593,0.0264905696,0.6412925016,0.3916603863,0.3998525994,0.4884724420,0.5246326613,0.7508551527,0.7437276665,0.7334743097,0.0437226085,0.0836283276,0.0867490020,0.0517475766,0.7311670837,0.1740135156,0.1476845932,0.4159165392
0.7532253303,0.7891559008,0.7934777318,0.7860928974,0.0616530363,0.0313266658,0.0285195045,0.0242734311,0.6409783110,0.3915366531,0.3993537049,0.4899980645,0.5289241795,0.7472977175,0.7402679394,0.7353881981,0.0442454916,0.0782161200,0.0813161918,0.0510875562,0.7571451153,0.1941412925,0.1672490006,0.4562923312
0.7455232340,0.7821711841,0.7864698591,0.7792213079,0.0682499607,0.0299281142,0.0269089050,0.0225861476,0.6406543020,0.3916041439,0.3990929191,0.4914326051,0.5334988944,0.7437527209,0.7368460927,0.7374359249,0.0447045112,0.0736530867,0.0767741865,0.0505950035,0.7824060330,0.2150361193,0.1878404640,0.4978807079
0.7377727671,0.7751414338,0.7794155767,0.7723134131,0.0752177432,0.0290903184,0.0258551794,0.0214775783,0.6403597483,0.3918291133,0.3990589036,0.4927646784,0.5384221590,0.7403694260,0.7336262737,0.7397111768,0.0451036586,0.0698573796,0.0730130102,0.0502305146,0.8067493532,0.2365426441,0.2092978764,0.5402119292
0.7299863322,0.7680779082,0.7723262040,0.7653791146,0.0824887353,0.0288644584,0.0254116810,0.0209944116,0.6401044684,0.3922003127,0.3992176427,0.4940284403,0.5437266499,0.7373219728,0.7307600035,0.7422808732,0.0454628913,0.0667062266,0.0699006917,0.0499251320,0.8299823035,0.2585055150,0.2314903386,0.5827834826
0.7221750918,0.7609884883,0.7652107965,0.7584261134,0.0899916648,0.0293006018,0.0256284284,0.0211811637,0.6399080992,0.3927064937,0.3995464595,0.4952238908,0.5494123670,0.7347720629,0.7284114297,0.7451985492,0.0457822092,0.0641075484,0.0673382529,0.0496591536,0.8519429547,0.2808179276,0.2542668130,0.6250819314
0.7143440071,0.7538810549,0.7580761460,0.7514599102,0.0976552591,0.0304499286,0.0265598862,0.0220856085,0.6397902778,0.3933364079,0.4000453540,0.4963624150,0.5554575260,0.7328689595,0.7267573267,0.7485311241,0.0460815698,0.0619897281,0.0652377129,0.0494030262,0.8724847999,0.3033633680,0.2774863311,0.6666156871
0.7065005197,0.7467612373,0.7509301760,0.7444849058,0.1054046218,0.0323591685,0.0282571846,0.0237479194,0.6397608224,0.3940675583,0.4006689722,0.4974667836,0.5618076659,0.7317868027,0.7259365885,0.7523321332,0.0463609730,0.0602606863,0.0635000935,0.0491370478,0.8914806090,0.3260447413,0.3009978553,0.7068494647
