L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.1319160745,0.1942044328,0.1936322705,0.1948280470,0.8495389446,0.8646897120,0.8696798121,0.8727382516,0.9117500973,0.8978495292,0.9052430910,0.9421073298,0.2424411000,0.4410156250,0.4502944057,0.4732342478,0.2527047728,0.0109306906,0.0170252092,0.0790333647,0.0058411261,0.6085131894,0.6028959495,0.3488258176
0.1295044506,0.1907597482,0.1899717449,0.1912197078,0.8463750158,0.8624128780,0.8673961627,0.8701827859,0.9116829769,0.8971530205,0.9039971093,0.9410340314,0.2405316414,0.4536290323,0.4589040225,0.4823600546,0.2637193419,0.0113491391,0.0161318478,0.0817895312,0.0072031290,0.5884492406,0.5830518387,0.3318157806
0.1270559892,0.1871026413,0.1861044749,0.1873908589,0.8429716870,0.8599288532,0.8649012955,0.8673904558,0.9112936786,0.8963196975,0.9026140696,0.9397513089,0.2384417615,0.4654611895,0.4668777740,0.4909796532,0.2757910862,0.0118492361,0.0153309031,0.0850573911,0.0086445490,0.5676958433,0.5623607232,0.3140181530
0.1246222628,0.1832595214,0.1820649178,0.1833715699,0.8393385825,0.8572353732,0.8621952106,0.8643590374,0.9104882338,0.8953495603,0.9010815121,0.9382460733,0.2362165657,0.4761340726,0.4739231620,0.4987977558,0.2889359631,0.0124513936,0.0147045233,0.0889416088,0.0101574444,0.5465127898,0.5410646043,0.2956442395
0.1222560717,0.1792625389,0.1778898282,0.1791941376,0.8354925443,0.8543369669,0.8592801791,0.8610963148,0.9091726739,0.8942426089,0.8993994368,0.9364790576,0.2338410188,0.4853074597,0.4797858406,0.5055612582,0.3031579619,0.0132168482,0.0143040509,0.0935468490,0.0117259317,0.5251898481,0.5194256501,0.2769149498
0.1200139000,0.1751472890,0.1736182578,0.1748930862,0.8314480087,0.8512404273,0.8561630146,0.8576100724,0.9072933027,0.8929739680,0.8975678437,0.9344633508,0.2313000857,0.4927419355,0.4843132018,0.5110873631,0.3184491040,0.0141864239,0.0142424398,0.0989661468,0.0133301567,0.5039868106,0.4976959455,0.2580511934
0.1179473200,0.1709482184,0.1692881099,0.1705007128,0.8272230209,0.8479548120,0.8528573440,0.8539169907,0.9047695757,0.8915809505,0.8955991926,0.9321858639,0.2285937664,0.4983492944,0.4874416594,0.5153198251,0.3347894426,0.0154315633,0.0146018381,0.1053157962,0.0149542359,0.4831135092,0.4760973249,0.2392738798
0.1161066763,0.1666986257,0.1649315446,0.1660515413,0.8228344231,0.8444925751,0.8493722519,0.8500348624,0.9015477964,0.8900511188,0.8935059433,0.9296465969,0.2256919908,0.5021925403,0.4892347996,0.5182305215,0.3521590311,0.0170543269,0.0154849309,0.1127120911,0.0165902277,0.4627597922,0.4548415395,0.2207943140
0.1145386296,0.1624341061,0.1605841680,0.1615756415,0.8182978544,0.8408639062,0.8457225008,0.8459814801,0.8976011169,0.8884217858,0.8913005557,0.9268455497,0.2226097939,0.5044102823,0.4898197958,0.5199178818,0.3705219653,0.0191363632,0.0169944037,0.1212829548,0.0182143070,0.4430555556,0.4341100904,0.2028141958
0.1132849289,0.1581856616,0.1562746945,0.1571019690,0.8136301572,0.8370835239,0.8419205821,0.8417790845,0.8928758407,0.8867053892,0.8889954895,0.9237827225,0.2193471757,0.5052797379,0.4894382766,0.5205506419,0.3898423413,0.0217899389,0.0192534785,0.1311563107,0.0198105903,0.4241306954,0.4140542285,0.1855064112
