L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.4635061303,0.5156045655,0.5174757147,0.5091926212,0.2838473262,0.2726358238,0.2753144030,0.2645894892,0.4103528488,0.2776233495,0.2940772729,0.3671659950,0.5632024871,0.5341836256,0.5351338368,0.5422496953,0.0627881404,0.0436026838,0.0770285589,0.0436071573,0.8088994311,0.4749693109,0.4558038692,0.7066393655
0.4571748951,0.5095373074,0.5113005610,0.5031214940,0.2927876765,0.2847737570,0.2875537081,0.2764019824,0.4061083922,0.2776812601,0.2938627849,0.3664512204,0.5621092549,0.5293605391,0.5308238371,0.5368023845,0.0631424615,0.0432739718,0.0765806121,0.0437303165,0.7882541819,0.4577654723,0.4436115305,0.6847830115
0.4504030629,0.5030622071,0.5047100470,0.4966429216,0.3024532373,0.2978166427,0.3006855250,0.2890948673,0.4018186212,0.2776957378,0.2936196986,0.3657212379,0.5604352431,0.5239211693,0.5259267167,0.5306796658,0.0635212185,0.0429162558,0.0760960983,0.0438446786,0.7658757197,0.4395311954,0.4306730803,0.6614349776
0.4432261318,0.4962170457,0.4977426503,0.4897926278,0.3128269446,0.3117105564,0.3146538843,0.3026192877,0.3975439550,0.2776523048,0.2933623130,0.3649608395,0.5581292064,0.5178119264,0.5204024446,0.5238374910,0.0639284842,0.0425198677,0.0755658756,0.0439238524,0.7418023711,0.4204546473,0.4171201854,0.6367527703
0.4356889969,0.4890463855,0.4904427681,0.4826150260,0.3238789368,0.3263907885,0.3293838270,0.3169087988,0.3933297082,0.2775654390,0.2931049275,0.3642004410,0.5551057361,0.5110060155,0.5142109898,0.5162611773,0.0643601857,0.0420848077,0.0749990858,0.0439766349,0.7161278234,0.4007329552,0.4030932903,0.6109402216
0.4278396853,0.4815976952,0.4828607172,0.4751564609,0.3355750865,0.3417789033,0.3447923986,0.3318881619,0.3892060903,0.2774061849,0.2928189436,0.3634248346,0.5513135868,0.5035168339,0.5073523525,0.5079507246,0.0648285412,0.0416110757,0.0743774454,0.0439942291,0.6889627977,0.3806259688,0.3887679506,0.5842474892
0.4197304005,0.4739165057,0.4750448411,0.4674652078,0.3478770001,0.3577954846,0.3607926464,0.3474782296,0.3851731013,0.2772179754,0.2925186605,0.3626644362,0.5467698405,0.4953443818,0.4998265325,0.4989354986,0.0653376232,0.0410986716,0.0737100962,0.0439942291,0.6604435662,0.3603845775,0.3743548330,0.5569339955
0.4114091696,0.4660502857,0.4670405238,0.4595856803,0.3607494836,0.3743591554,0.3772986177,0.3635998546,0.3812156365,0.2769718555,0.2922040781,0.3619040377,0.5415257422,0.4865154540,0.4916201863,0.4892448647,0.0658996498,0.0405475956,0.0729970381,0.0439766349,0.6307276939,0.3403044721,0.3600558267,0.5292962235
0.4029229759,0.4580377850,0.4588901890,0.4515574643,0.3741562764,0.3913954015,0.3942283571,0.3801777981,0.3773034862,0.2766967802,0.2918894958,0.3611588472,0.5356496191,0.4770836404,0.4827733447,0.4789522369,0.0665146208,0.0399578475,0.0722291293,0.0439326495,0.5999727455,0.3206634230,0.3460991538,0.5016028611
0.3943125379,0.4499167847,0.4506323144,0.4434182145,0.3880675171,0.4088306896,0.4115079052,0.3971407298,0.3733762310,0.2764072272,0.2915606143,0.3603984488,0.5292439616,0.4671159282,0.4733126952,0.4681310291,0.0671947544,0.0393197595,0.0714063700,0.0438798670,0.5683490614,0.3017840022,0.3327042590,0.4741596561
0.3856133541,0.4417182847,0.4422994580,0.4351988275,0.4024565434,0.4266003100,0.4290682996,0.4144251364,0.3693885566,0.2761031967,0.2912317328,0.3596380503,0.5224966691,0.4566659075,0.4632782685,0.4568840207,0.0679441232,0.0386429994,0.0705104765,0.0438006932,0.5360397574,0.2839439800,0.3200993645,0.4472538265
0.3768546583,0.4334694099,0.4339192445,0.4269244064,0.4172977596,0.4446424947,0.4468495733,0.4319733674,0.3652951483,0.2757991661,0.2909028513,0.3588624439,0.5155273137,0.4458273603,0.4527367831,0.4453139912,0.0687627271,0.0379275673,0.0695597323,0.0437215194,0.5032279494,0.2674659283,0.3085478038,0.4211725901
0.3680625523,0.4251934102,0.4255114061,0.4186171579,0.4325687697,0.4629033191,0.4647997545,0.4497346122,0.3610657966,0.2755240908,0.2905882689,0.3581172534,0.5084896314,0.4346806715,0.4417816445,0.4335237200,0.0696587114,0.0371734633,0.0685541376,0.0436247515,0.4701180459,0.2526455382,0.2982777992,0.3961938999
0.3592558293,0.4169048168,0.4170937017,0.4102934957,0.4482493103,0.4813308195,0.4828738680,0.4676668543,0.3566702918,0.2752779708,0.2902879858,0.3573720630,0.5015373578,0.4233464182,0.4305062582,0.4216747177,0.0706361489,0.0364000232,0.0674936922,0.0435191864,0.4369059381,0.2397785006,0.2895526842,0.3726049735
0.3504491063,0.4086200984,0.4086799437,0.4019650061,0.4643180517,0.4998818561,0.5010329350,0.4857310086,0.3521388436,0.2750897614,0.2900163011,0.3566572884,0.4947559017,0.4119317801,0.4190307171,0.4098697638,0.0716950395,0.0355879111,0.0663875379,0.0434048243,0.4038088100,0.2291694668,0.2826357923,0.3506837639
0.3416538681,0.4003450674,0.4002760518,0.3936413439,0.4807557972,0.5185113286,0.5192409752,0.5038948298,0.3474865567,0.2749594626,0.2898018131,0.3559881378,0.4882135902,0.4005439370,0.4074884577,0.3982410031,0.0728476012,0.0347661311,0.0652356748,0.0432728680,0.3710395871,0.2211051674,0.2778080124,0.3307360190
0.3328774232,0.3920884427,0.3918889321,0.3853273369,0.4975433500,0.5371809993,0.5374690045,0.5221319357,0.3427436409,0.2749015520,0.2896445220,0.3553646111,0.4819616685,0.3893436583,0.3960129167,0.3869352636,0.0740816160,0.0339346830,0.0640563864,0.0431233176,0.3388111948,0.2158723332,0.2753326779,0.3130489568
0.3241229036,0.3838521616,0.3835195713,0.3770278125,0.5146583139,0.5558516505,0.5556850403,0.5404139893,0.3380007250,0.2749305073,0.2895730260,0.3548323321,0.4760172184,0.3784381238,0.3847775613,0.3760406419,0.0754093019,0.0331032349,0.0628496727,0.0429473758,0.3073365584,0.2137576947,0.2754731224,0.2979190601
