L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.0961794719,0.1577459950,0.1571242621,0.1561782747,0.8676215915,0.8858602666,0.8837415503,0.8778956556,0.6409725425,0.5631578947,0.5441380596,0.5974182511,0.3529832012,0.3274005764,0.3405084217,0.3318677242,0.3238662598,0.0106093372,0.0154757064,0.0750411688,0.0007955860,0.5890068933,0.6065620203,0.3436883821
0.0935350351,0.1523867212,0.1518739039,0.1506637272,0.8634895129,0.8826554050,0.8808573923,0.8743750881,0.6371603114,0.5603048718,0.5425946260,0.5955227653,0.3563270855,0.3359423631,0.3482191369,0.3409341349,0.3404317616,0.0106347793,0.0145693569,0.0813128482,0.0037127345,0.5521068915,0.5700880784,0.3182346019
0.0910163835,0.1467372437,0.1463254785,0.1448461729,0.8589986879,0.8791466966,0.8776761615,0.8705234356,0.6324632661,0.5572355546,0.5408647372,0.5932190210,0.3593137595,0.3439193084,0.3554211993,0.3493786617,0.3585701040,0.0111266590,0.0140526530,0.0889947794,0.0067808971,0.5138408931,0.5321705285,0.2921573365
0.0887188387,0.1408554226,0.1405336770,0.1387851468,0.8541531137,0.8753296196,0.8741887451,0.8663344512,0.6267684517,0.5539808425,0.5389587520,0.5904389751,0.3618043084,0.3510432277,0.3618949632,0.3568849079,0.3782812870,0.0122545902,0.0141119469,0.0983322238,0.0099779741,0.4747426318,0.4933210292,0.2659008191
0.0867426357,0.1348081582,0.1345595715,0.1325481812,0.8489617840,0.8712032700,0.8703860307,0.8618108121,0.6200664552,0.5505716346,0.5368870289,0.5871534663,0.3637094294,0.3571296830,0.3674554640,0.3632237581,0.3995390338,0.0141966671,0.0149505320,0.1095792018,0.0132597662,0.4354001194,0.4541151963,0.2399404572
0.0851771999,0.1286668716,0.1284724374,0.1262054742,0.8434366903,0.8667685518,0.8662634617,0.8569605500,0.6123761025,0.5470800288,0.5347117197,0.5833624947,0.3649993550,0.3620634006,0.3720217796,0.3682097385,0.4222795302,0.0171818683,0.0167801721,0.1229634561,0.0165747077,0.3964375531,0.4151651926,0.2147594516
0.0841060605,0.1225056956,0.1223397273,0.1198325554,0.8375928219,0.8620299868,0.8618183044,0.8517961587,0.6038103486,0.5435781234,0.5324742588,0.5790855010,0.3656740854,0.3658559078,0.3755939100,0.3717882977,0.4464201924,0.0214646143,0.0198719252,0.1387302477,0.0198749162,0.3584429448,0.3770649075,0.1908098292
0.0835989890,0.1163978592,0.1162352744,0.1135031771,0.8314471669,0.8569948093,0.8570505589,0.8463328092,0.5945103872,0.5401689154,0.5302678738,0.5743419262,0.3658130005,0.3686224784,0.3782412171,0.3740030767,0.4718559143,0.0272738837,0.0244714373,0.1570898006,0.0231088258,0.3219681207,0.3403808201,0.1685124424
0.0837110164,0.1104183995,0.1102292656,0.1072919804,0.8250177125,0.8516693494,0.8519666039,0.8405892421,0.5846738895,0.5369554022,0.5281754335,0.5691803725,0.3654855578,0.3705244957,0.3801371051,0.3749304472,0.4984553129,0.0348895391,0.0308582368,0.1782348201,0.0262248709,0.2875015831,0.3056337256,0.1481868273
0.0844824333,0.1046387372,0.1043982688,0.1012771607,0.8183234453,0.8460653633,0.8465746409,0.8345850906,0.5744985269,0.5340096817,0.5262590897,0.5636688829,0.3647909824,0.3717463977,0.3814665387,0.3747667936,0.5260757441,0.0445405589,0.0392694992,0.2023580113,0.0291862187,0.2554232780,0.2732439149,0.1300979651
0.0859338763,0.0991293892,0.0988161171,0.0955342473,0.8113863499,0.8401955110,0.8408865164,0.8283444498,0.5641913834,0.5314141518,0.5245913526,0.5578560597,0.3638582669,0.3725072046,0.3824144827,0.3737085002,0.5545520408,0.0564559216,0.0499424002,0.2295820048,0.0319486700,0.2260226882,0.2435494481,0.1143705528
0.0880722243,0.0939581601,0.0935593783,0.0901405472,0.8042264119,0.8340751659,0.8349177218,0.8218887376,0.5539501304,0.5292100113,0.5232343740,0.5518099460,0.3627866364,0.3729798271,0.3831659018,0.3719846820,0.5837002669,0.0707882797,0.0630632920,0.2599768754,0.0344827586,0.1994988330,0.2167787442,0.1010513518
0.0908896156,0.0891892381,0.0887037084,0.0851715899,0.7968646167,0.8277242227,0.8286873937,0.8152411566,0.5439253744,0.5274487589,0.5221777953,0.5455985847,0.3616753158,0.3732795389,0.3838132782,0.3697808132,0.6133252251,0.0876394013,0.0787507624,0.2935601416,0.0367700683,0.1759421758,0.1930414443,0.0900624264
0.0943634484,0.0848886197,0.0843256753,0.0807011277,0.7893229487,0.8211616719,0.8222164914,0.8084222325,0.5342112447,0.5260891956,0.5214319750,0.5392705782,0.3605838402,0.3734985591,0.3844028531,0.3672823680,0.6432054415,0.1070262477,0.0970725757,0.3302354508,0.0387958659,0.1553708093,0.1723375484,0.0812401119
0.0984593281,0.0811168770,0.0804972891,0.0768020245,0.7816233923,0.8144110253,0.8155277964,0.8014551679,0.5248548058,0.5251004223,0.5209658373,0.5328842490,0.3595717447,0.3736829971,0.3849693074,0.3646311793,0.6731081806,0.1288809736,0.1179863793,0.3698100978,0.0405564682,0.1377123627,0.1545848257,0.0743817755
0.1031310682,0.0779372943,0.0772887369,0.0735418127,0.7737829355,0.8074939864,0.8086440903,0.7943604883,0.5158654706,0.5244206406,0.5207275891,0.5264784789,0.3586390292,0.3738213256,0.3854664000,0.3619145292,0.7027781844,0.1530339651,0.1413735854,0.4119424687,0.0420555584,0.1228220948,0.1396096777,0.0692302297
0.1083246201,0.0754113478,0.0747638250,0.0709826931,0.7658215642,0.8004304498,0.8015890663,0.7871578267,0.5072055875,0.5239571532,0.5206447202,0.5200921498,0.3578055387,0.3739365994,0.3858825705,0.3592306098,0.7319526872,0.1792477632,0.1670054889,0.4561683193,0.0433078697,0.1105190787,0.1271928222,0.0655282867
