L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.4441432526,0.4832146326,0.4825544337,0.4664881127,0.3397284026,0.4031720343,0.4084322021,0.4080530374,0.1209397577,0.4082019015,0.4179551122,0.3198786748,0.4353252516,0.5493288784,0.5534350696,0.4839811165,0.3480025845,0.2007892797,0.1859886127,0.2520447997,0.0656883267,0.0429962282,0.0479820856,0.0397575674
0.4543560772,0.4943339027,0.4934839250,0.4773759505,0.3349401973,0.3987775427,0.4039717593,0.4037191124,0.1291654815,0.4190737364,0.4284843447,0.3319023176,0.4366773370,0.5483956449,0.5529644315,0.4834425704,0.3303745293,0.1999544646,0.1879845368,0.2437261827,0.0665905769,0.0427572448,0.0471474375,0.0392860429
0.4652954366,0.5061448900,0.5050987189,0.4889700204,0.3298418298,0.3940824656,0.3992159459,0.3990884199,0.1380738381,0.4305163078,0.4395538930,0.3446881319,0.4381334289,0.5474624114,0.5524467297,0.4829040242,0.3119666689,0.2000628822,0.1909784230,0.2359536202,0.0675695184,0.0424351368,0.0462720749,0.0387685160
0.4769037091,0.5185647268,0.5173144353,0.5011930957,0.3244631953,0.3891119470,0.3941923450,0.3941878370,0.1476762046,0.4424043320,0.4510252147,0.3581272360,0.4396588585,0.5465291779,0.5518701980,0.4823883949,0.2929884366,0.2013855761,0.1951908734,0.2290756576,0.0686161286,0.0420195135,0.0453458191,0.0382049867
0.4891082412,0.5314944317,0.5300375719,0.5139578768,0.3188404172,0.3838979884,0.3889342863,0.3890487203,0.1579384493,0.4545846848,0.4627320587,0.3720640846,0.4412651821,0.5456189873,0.5512583685,0.4818956825,0.2736893701,0.2042044321,0.2008424901,0.2234524584,0.0697304076,0.0414999844,0.0443788488,0.0375839544
0.5018251055,0.5448281180,0.5431643643,0.5271658716,0.3130133557,0.3784771629,0.3834762491,0.3837035461,0.1688150634,0.4669042415,0.4745081740,0.3863275782,0.4429408434,0.5447548822,0.5506112412,0.4814488037,0.2543011831,0.2087362852,0.2081328655,0.2193744772,0.0709078442,0.0408765495,0.0433813426,0.0369399209
0.5149641117,0.5584610498,0.5565956088,0.5407208268,0.3070193795,0.3728826151,0.3778538616,0.3781870307,0.1802605381,0.4791681167,0.4861873095,0.4007155079,0.4446627298,0.5439368627,0.5499405819,0.4810363003,0.2350600450,0.2152196539,0.2172195727,0.2171437866,0.0721484382,0.0401388182,0.0423533004,0.0362613856
0.5284375744,0.5722919439,0.5702321020,0.5545264887,0.3008908753,0.3671497750,0.3720981550,0.3725316505,0.1922521190,0.4912371062,0.4975616514,0.4150101104,0.4464539540,0.5431879717,0.5492699227,0.4806696306,0.2161798454,0.2238388482,0.2282706893,0.2169695139,0.0734386560,0.0392971810,0.0413150796,0.0355483485
0.5421540504,0.5862252720,0.5839837626,0.5684933193,0.2946602292,0.3613095014,0.3662390112,0.3667676423,0.2047442972,0.5028884837,0.5084788030,0.4289936226,0.4482798470,0.5424966876,0.5486110294,0.4803487946,0.1978611055,0.2347456525,0.2413912642,0.2190840227,0.0747875201,0.0383516381,0.0402463230,0.0348353114
0.5560333705,0.6001747133,0.5977650701,0.5825396150,0.2883535997,0.3553880810,0.3603040135,0.3609218830,0.2176915638,0.5139552041,0.5187032419,0.4424638357,0.4501635214,0.5418745319,0.5479874340,0.4800737923,0.1802642426,0.2480484843,0.2566863458,0.2236499675,0.0761860079,0.0373333610,0.0391775663,0.0340992732
0.5699991231,0.6140608527,0.6114984863,0.5965903876,0.2819971450,0.3494118010,0.3543138492,0.3550156503,0.2310370328,0.5242423821,0.5280825713,0.4552340955,0.4520703084,0.5412869405,0.5473873704,0.4798331653,0.1635229374,0.2638449196,0.2742084585,0.2307719119,0.0776341195,0.0362631311,0.0380782737,0.0333632349
0.5839811602,0.6278134826,0.6251190157,0.6105784835,0.2756083039,0.3434000907,0.3482892059,0.3490702219,0.2447465726,0.5335551318,0.5364505403,0.4671021932,0.4540117643,0.5407454346,0.5468343707,0.4796383720,0.1477530468,0.2821674834,0.2939996218,0.2405428014,0.0791318548,0.0351409482,0.0369688025,0.0326271966
0.5979168493,0.6413693011,0.6385639435,0.6244445837,0.2692020239,0.3373678081,0.3422415765,0.3430990363,0.2587405427,0.5417403288,0.5436408978,0.4779436926,0.4559647764,0.5402269716,0.5463284348,0.4794779540,0.1330303233,0.3030053341,0.3160598357,0.2530207268,0.0806792140,0.0340083748,0.0358593313,0.0318911583
0.6117510741,0.6546742138,0.6517808172,0.6381372038,0.2627944983,0.3313275251,0.3361859020,0.3371155321,0.2729961886,0.5486448488,0.5495428096,0.4876030487,0.4579293449,0.5397315514,0.5458577967,0.4793404528,0.1194126952,0.3263151047,0.3403575856,0.2682056883,0.0822807081,0.0328654108,0.0347295028,0.0311666207
0.6254312235,0.6676787301,0.6647206053,0.6516093361,0.2563907096,0.3252895279,0.3301302275,0.3311297882,0.2874566244,0.5541573284,0.5540731505,0.4960024887,0.4598823570,0.5392361311,0.5454224565,0.4792373270,0.1069313549,0.3520100611,0.3667983276,0.2860744493,0.0839363372,0.0317328374,0.0336098529,0.0304535836
0.6389096967,0.6803402651,0.6773422578,0.6648206887,0.2500006228,0.3192606739,0.3240791502,0.3251474038,0.3020990955,0.5582081657,0.5571765032,0.5030642402,0.4618122566,0.5387522323,0.5449988822,0.4791342011,0.0955952142,0.3799492606,0.3952665084,0.3065108281,0.0856641464,0.0306210451,0.0324800244,0.0297520471
0.6521439040,0.6926196867,0.6896092864,0.6777332077,0.2436279749,0.3132432491,0.3180395659,0.3191739785,0.3169122248,0.5607416791,0.5588113051,0.5087416394,0.4637190436,0.5382568120,0.5445988399,0.4790539921,0.0854042733,0.4099375515,0.4255835452,0.3293986430,0.0874596243,0.0295300340,0.0313603746,0.0290620112
0.6650925079,0.7044847684,0.7014886230,0.6903144356,0.2372777483,0.3072418250,0.3120126239,0.3132106321,0.3318732579,0.5617439481,0.5589775561,0.5130035775,0.4655680492,0.5377613918,0.5441870316,0.4789852415,0.0763362520,0.4417472570,0.4575393407,0.3545403848,0.0893363047,0.0284701946,0.0302509034,0.0283949765
0.6777141712,0.7159055858,0.7129529011,0.7025319148,0.2309486974,0.3012564017,0.3060017722,0.3072607242,0.3470049491,0.5612288932,0.5576891106,0.5158656090,0.4673477171,0.5372659715,0.5437516914,0.4789164910,0.0683555021,0.4750964916,0.4908712734,0.3817153081,0.0913077215,0.0274519176,0.0291414321,0.0277394425
0.6899713144,0.7268579689,0.7239770350,0.7143576646,0.2246445592,0.2952881221,0.3000058614,0.3013242549,0.3623186757,0.5592521959,0.5550152397,0.5173743973,0.4690464909,0.5367590299,0.5433045852,0.4788591988,0.0614263752,0.5096708444,0.5253062168,0.4106329585,0.0933874082,0.0264648123,0.0280421395,0.0270954090
0.7018276108,0.7373200499,0.7345404996,0.7257637044,0.2183665792,0.2893369861,0.2940260409,0.2954001041,0.3777916833,0.5559252196,0.5510252147,0.5176077150,0.4706412582,0.5362405669,0.5428221812,0.4788133651,0.0554864871,0.5451016957,0.5605185201,0.4410144995,0.0955843875,0.0255192693,0.0269632042,0.0264743767
0.7132492390,0.7472711118,0.7446227701,0.7367231727,0.2121122662,0.2834018508,0.2880611613,0.2894893920,0.3934125946,0.5513593274,0.5458298698,0.5166899984,0.4721320190,0.5357105824,0.5423044793,0.4787560730,0.0504689972,0.5810204259,0.5961930374,0.4725113858,0.0979121930,0.0246152887,0.0258842689,0.0258648450
0.7242011249,0.7566961922,0.7542067424,0.7472103273,0.2058828658,0.2774804305,0.2821100733,0.2835909984,0.4091359008,0.5457076437,0.5395816016,0.5147145746,0.4734841043,0.5351575552,0.5417632455,0.4787216977,0.0463026090,0.6170367319,0.6319620985,0.5047634539,0.1003933811,0.0237632610,0.0248155122,0.0252898151
0.7346544575,0.7655803290,0.7632764528,0.7571994261,0.1996783781,0.2715738680,0.2761739262,0.2777026838,0.4248705842,0.5391511338,0.5324466611,0.5118836522,0.4746859580,0.5345930065,0.5411749479,0.4786758640,0.0428937460,0.6527603105,0.6674580331,0.5373640673,0.1030369742,0.0229527956,0.0237569342,0.0247147852
0.7445766682,0.7739108617,0.7718170778,0.7666647267,0.1934975573,0.2656787347,0.2702504215,0.2718255679,0.4405256272,0.5318707630,0.5245912995,0.5083061129,0.4757260236,0.5340169365,0.5405513525,0.4786414887,0.0401488314,0.6877683334,0.7023236759,0.5699065898,0.1058655286,0.0221942831,0.0226983562,0.0241742571
0.7539389460,0.7816797337,0.7798149341,0.7755816062,0.1873416492,0.2597938875,0.2643395591,0.2659585309,0.4559645031,0.5240614168,0.5162510391,0.5041686110,0.4765927450,0.5334293450,0.5398924592,0.4785956550,0.0379653766,0.7217030227,0.7361598420,0.6019611488,0.1088880668,0.0214773329,0.0216499567,0.0236567301
0.7627149854,0.7888765866,0.7872586190,0.7839243224,0.1812106536,0.2539181836,0.2584401897,0.2600993331,0.4710506855,0.5159458218,0.5076198393,0.4996422461,0.4772630095,0.5328071894,0.5391865021,0.4785383628,0.0362498050,0.7541523917,0.7686093661,0.6330862534,0.1121226338,0.0208227263,0.0206015573,0.0231737050
0.7708772281,0.7954956655,0.7941333090,0.7916716099,0.1751045707,0.2480504801,0.2525511641,0.2542502142,0.4855907617,0.5077327839,0.4989055140,0.4948825634,0.4777368172,0.5321735123,0.5384452471,0.4784696122,0.0348907159,0.7847803461,0.7992730634,0.6627939400,0.1155827634,0.0202304631,0.0195735152,0.0227136811
0.7784006213,0.8015335178,0.8004310222,0.7987988459,0.1690258917,0.2421919198,0.2466724821,0.2484078145,0.4994254508,0.4996311093,0.4903297312,0.4900295536,0.4779910554,0.5315052710,0.5376686943,0.4783779448,0.0337900764,0.8132182662,0.8278042734,0.6906543359,0.1192865005,0.0196901528,0.0185454731,0.0222996596
0.7852651226,0.8069866905,0.8061403559,0.8052870033,0.1629721253,0.2363413600,0.2408029946,0.2425743738,0.5123385858,0.4918356836,0.4821141590,0.4852387619,0.4780141680,0.5308024656,0.5368568437,0.4782519021,0.0328453980,0.8391734247,0.8538563355,0.7161910958,0.1232473790,0.0192121861,0.0175377882,0.0219201398
0.7914481843,0.8118540327,0.8112533282,0.8111181747,0.1569482540,0.2304976576,0.2349438508,0.2367498922,0.5241481313,0.4845413923,0.4744527570,0.4806501789,0.4778061549,0.5300650959,0.5360096951,0.4781029425,0.0319631041,0.8623314107,0.8770720844,0.7389743471,0.1274744212,0.0188173440,0.0165402819,0.0215866225
0.7969335221,0.8161355444,0.8157665182,0.8162778100,0.1509542779,0.2246630985,0.2290950508,0.2309332497,0.5346606747,0.4779013600,0.4675117761,0.4763415772,0.4773670161,0.5292816406,0.5351154828,0.4779196077,0.0310629860,0.8824428640,0.8971678887,0.7585974533,0.1319766498,0.0184848453,0.0155631330,0.0213106082
0.8017073568,0.8198346784,0.8196765053,0.8207558362,0.1449926881,0.2188365398,0.2232565944,0.2251266861,0.5437283122,0.4720547907,0.4614436132,0.4724373931,0.4766736390,0.5284405784,0.5341859726,0.4777018975,0.0300782033,0.8992801076,0.9138601172,0.7746886328,0.1367721096,0.0182354714,0.0145961627,0.0210920968
0.8057596673,0.8229571895,0.8229855699,0.8245444188,0.1390659761,0.2130191243,0.2174284818,0.2193279617,0.5512145173,0.4670852068,0.4563591022,0.4689531809,0.4757144673,0.5275419091,0.5332211646,0.4774383537,0.0289463717,0.9126263064,0.9269071580,0.7869225764,0.1418653121,0.0180484409,0.0136597282,0.0209310884
0.8090841904,0.8255099833,0.8256959925,0.8276457961,0.1331766330,0.2072097093,0.2116118622,0.2135404360,0.5570510268,0.4630900511,0.4523275145,0.4659356043,0.4745126137,0.5266086756,0.5322092927,0.4771289761,0.0276362988,0.9223188343,0.9361304284,0.7950669207,0.1472697909,0.0179549257,0.0127538297,0.0208275830
0.8116834312,0.8275045692,0.8278191759,0.8300644451,0.1273271500,0.2014117233,0.2058078849,0.2077629892,0.5612150862,0.4600414828,0.4493488501,0.4634002178,0.4730449655,0.5256178351,0.5311503571,0.4767852232,0.0261257046,0.9282275901,0.9413723554,0.7989357747,0.1529945685,0.0179237539,0.0118682885,0.0208045818
0.8135611479,0.8289536077,0.8293699436,0.8318126773,0.1215225098,0.1956251664,0.2000165500,0.2019967412,0.5637294499,0.4579116611,0.4473815461,0.4612848032,0.4713230791,0.5245809090,0.5300208257,0.4763956366,0.0244190451,0.9302441563,0.9425594050,0.7984478111,0.1590531786,0.0179757068,0.0110132831,0.0208505842
0.8147311195,0.8298732120,0.8303642594,0.8329095195,0.1157652035,0.1898511816,0.1942390066,0.1962428118,0.5646623813,0.4566309840,0.4463563314,0.4595582517,0.4693585106,0.5235094187,0.5288324646,0.4759602163,0.0225341443,0.9283143241,0.9396600626,0.7936030300,0.1654546439,0.0181003938,0.0101989923,0.0209770908
0.8152146409,0.8302852500,0.8308272091,0.8333807139,0.1100602138,0.1840931975,0.1884752549,0.1905023209,0.5641731612,0.4560602475,0.4461208091,0.4581116814,0.4671628165,0.5223918428,0.5275382099,0.4754904208,0.0205111067,0.9224489353,0.9326743282,0.7844595223,0.1722079867,0.0183082054,0.0094050588,0.0211726010
0.8150367652,0.8302092877,0.8307861594,0.8332564798,0.1044137687,0.1783512142,0.1827275935,0.1847763885,0.5623983162,0.4560324067,0.4465225824,0.4568517654,0.4647359967,0.5212281813,0.5261615936,0.4749747915,0.0184034044,0.9126805152,0.9216967456,0.7711683242,0.1793267409,0.0185783606,0.0086518398,0.0214486153
0.8142288084,0.8296717968,0.8302707572,0.8325737514,0.0988308508,0.1726275174,0.1769937237,0.1790650145,0.5595653905,0.4563943372,0.4473399834,0.4556540675,0.4621242763,0.5200414770,0.5246790837,0.4744247869,0.0162867901,0.8991066395,0.9068533731,0.7539269449,0.1868199289,0.0189212498,0.0079291567,0.0217936333
0.8128296025,0.8287004001,0.8293152106,0.8313728211,0.0933176882,0.1669232501,0.1712770934,0.1733681988,0.5558791740,0.4569511533,0.4483790524,0.4543785970,0.4593276553,0.5188317299,0.5230906802,0.4738404070,0.0142370162,0.8818574093,0.8883227935,0.7330258388,0.1947101070,0.0193264825,0.0072166522,0.0222306560
0.8108817377,0.8273238710,0.8279571486,0.8296995772,0.0878805091,0.1612406981,0.1655765533,0.1676881814,0.5515672109,0.4574940490,0.4494181214,0.4529164722,0.4563692464,0.5175874186,0.5213963831,0.4732331103,0.0123476595,0.8611171343,0.8663256088,0.7087554605,0.2030017865,0.0197940587,0.0065346837,0.0227596835
0.8084328143,0.8255744362,0.8262342001,0.8275999078,0.0825267873,0.1555787185,0.1598932528,0.1620227223,0.5468570453,0.4578698999,0.4502632308,0.4511277026,0.4532952746,0.5163085431,0.5195961925,0.4725799798,0.0107033844,0.8371243332,0.8411454503,0.6814875918,0.2117175235,0.0203031972,0.0058628938,0.0233807158
0.8055304330,0.8234831709,0.8241862746,0.8251208205,0.0772652422,0.1499395972,0.1542283411,0.1563740614,0.5419875988,0.4579255815,0.4507481297,0.4489189610,0.4501057400,0.5150181462,0.5177136403,0.4719039325,0.0093843994,0.8101717334,0.8130659495,0.6515707780,0.2208708519,0.0208642886,0.0052114611,0.0240937529
0.8022284576,0.8210834526,0.8218521411,0.8223104422,0.0721021019,0.1443256198,0.1485841169,0.1507410788,0.5371409068,0.4575079694,0.4507204212,0.4462435838,0.4468353114,0.5136816637,0.5157369604,0.4712049684,0.0084486331,0.7805737456,0.7824547766,0.6194232735,0.2304843279,0.0214773329,0.0045803858,0.0249217959
0.7985782465,0.8184063569,0.8192671482,0.8192157802,0.0670498227,0.1387356436,0.1429605801,0.1451248943,0.5324990045,0.4565613820,0.4501108340,0.4430393529,0.4434955451,0.5123221384,0.5137014507,0.4704830874,0.0079361896,0.7487098313,0.7496690968,0.5854633330,0.2405669740,0.0221215490,0.0039798463,0.0258763456
0.7946336636,0.8154818082,0.8164677845,0.8158782460,0.0621183698,0.1331730973,0.1373588800,0.1395255080,0.5281984186,0.4550301377,0.4488639512,0.4393373775,0.4400864410,0.5109280489,0.5115953454,0.4697497479,0.0078515251,0.7150136606,0.7151396096,0.5501092109,0.2511503690,0.0228281086,0.0034200214,0.0269804030
