L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.4761129649,0.5200339927,0.5189401624,0.5179463665,0.4800134921,0.4777208275,0.4740265592,0.4614833027,0.5988374951,0.3423165866,0.3608579500,0.3721847294,0.5343609279,0.4300883252,0.4357779271,0.4389798577,0.0589047535,0.0592471939,0.0579956518,0.0531517740,0.5307437564,0.2453216954,0.3348194443,0.4521954622
0.4724057947,0.5163548536,0.5153610096,0.5144824424,0.4883313657,0.4877846896,0.4835328296,0.4708773459,0.5966746952,0.3422149374,0.3593240704,0.3709143840,0.5319506661,0.4192989585,0.4245702270,0.4282574313,0.0588068237,0.0579175393,0.0579725229,0.0527489055,0.5112771096,0.2352178801,0.3206228197,0.4353084331
0.4684490383,0.5124469662,0.5115572824,0.5107904974,0.4972685263,0.4985247394,0.4937105042,0.4809448819,0.5944873181,0.3420751696,0.3577390615,0.3696308059,0.5290113224,0.4080497872,0.4129289601,0.4169767875,0.0587186870,0.0565546433,0.0579956518,0.0523997529,0.4906551132,0.2247173180,0.3061972172,0.4177833178
0.4642643987,0.5083384450,0.5075532247,0.5068917137,0.5067898944,0.5098798525,0.5045138920,0.4916410943,0.5922999410,0.3418591650,0.3561284880,0.3683472277,0.5254370804,0.3965012083,0.4010167140,0.4052425920,0.0586550326,0.0552028277,0.0580534740,0.0521177450,0.4690520654,0.2139787079,0.2918524305,0.3998723827
0.4598790049,0.5040548484,0.5033769084,0.5028135038,0.5168455493,0.5217748970,0.5158795331,0.5029062276,0.5901617184,0.3415923356,0.3545179144,0.3670901151,0.5211691534,0.3848243119,0.3889960762,0.3932060287,0.0586207572,0.0538842536,0.0581691183,0.0519431687,0.4466572048,0.2031739734,0.2778982530,0.3818575732
0.4553186294,0.4996268466,0.4990589571,0.4985845260,0.5273788242,0.5341271004,0.5277401602,0.5146743021,0.5881218050,0.3412746817,0.3529201232,0.3658727008,0.5161722691,0.3732008811,0.3770513126,0.3810299112,0.0586158607,0.0526100012,0.0583310204,0.0518491661,0.4236846692,0.1925279376,0.2646175397,0.3640208343
0.4506117577,0.4950812759,0.4946261667,0.4942309465,0.5383290046,0.5468587838,0.5400246985,0.5268756030,0.5862047778,0.3408934970,0.3513478967,0.3647214503,0.5103876406,0.3618020060,0.3653558499,0.3689119412,0.0586452396,0.0514022316,0.0585507447,0.0518357371,0.4003485969,0.1822257489,0.2522662069,0.3466292718
0.4457814492,0.4904424168,0.4901040570,0.4897789319,0.5496353763,0.5598884481,0.5526646114,0.5394453954,0.5844352143,0.3404996061,0.3498140171,0.3636495964,0.5037917534,0.3508094698,0.3540939539,0.3570033028,0.0587088940,0.0502720252,0.0587935979,0.0519028819,0.3768481861,0.1724922304,0.2410867018,0.3299796703
0.4408534766,0.4857332720,0.4855117678,0.4852496642,0.5612439707,0.5731447818,0.5655926316,0.5523201892,0.5828499803,0.3400548906,0.3483312669,0.3626571391,0.4963963646,0.3404157488,0.3434065339,0.3454900684,0.0588117202,0.0492415428,0.0590595800,0.0520103134,0.3533826349,0.1635654301,0.2312945328,0.3143094570
0.4358536122,0.4809768440,0.4808684390,0.4806643258,0.5731048673,0.5865641137,0.5787491068,0.5654402291,0.5814367873,0.3395720566,0.3469124283,0.3617440783,0.4882132317,0.3307705468,0.3334778556,0.3345466809,0.0589488219,0.0482997042,0.0593139976,0.0521714608,0.3301362018,0.1556701713,0.2230378622,0.2998708988
