L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.1490507854,0.2139833324,0.2154193520,0.2159790967,0.8004302983,0.8187050190,0.8241460455,0.8310259729,0.6123875138,0.2925853468,0.2906906968,0.3746781351,0.1968015775,0.5967999140,0.5962531781,0.5623228631,0.3039955923,0.0005552721,0.0448866407,0.1183302423,0.0108169336,0.6744986221,0.7181297221,0.3653938133
0.1449021875,0.2100780214,0.2113711858,0.2121134337,0.8004171594,0.8186622238,0.8241652853,0.8311009309,0.6126075542,0.2928103296,0.2912704305,0.3748534487,0.1994669296,0.6021393632,0.6011508096,0.5683137546,0.3052209366,0.0003901912,0.0440333983,0.1178437871,0.0109768962,0.6612294312,0.7015943143,0.3541706061
0.1404885805,0.2059111308,0.2070456109,0.2079896878,0.8000936145,0.8183597065,0.8239284869,0.8308832645,0.6127744814,0.2930353125,0.2918705058,0.3750178053,0.2021322817,0.6074340184,0.6060484411,0.5742362346,0.3065873278,0.0002401177,0.0431192101,0.1174080042,0.0112535884,0.6451725951,0.6822896658,0.3413345495
0.1358436928,0.2015081118,0.2024669362,0.2036343649,0.7993873998,0.8177340120,0.8233749704,0.8303037816,0.6128579450,0.2932505135,0.2924604103,0.3751712047,0.2047642124,0.6125584562,0.6108390205,0.5799437071,0.3081035813,0.0001200588,0.0421440761,0.1170735662,0.0116599799,0.6260254552,0.6600076834,0.3268411510
0.1310044650,0.1968986570,0.1976694803,0.1990753658,0.7982459598,0.8167423452,0.8224573763,0.8293134714,0.6128579450,0.2934559327,0.2930401440,0.3753246042,0.2072958791,0.6174051710,0.6154154958,0.5852993491,0.3097829201,0.0000300147,0.0411079961,0.1168404731,0.0122090409,0.6037242939,0.6347323601,0.3107237801
0.1260110501,0.1921152873,0.1926875619,0.1943447764,0.7966331625,0.8153551923,0.8211475847,0.8278806208,0.6127441310,0.2936417881,0.2936198777,0.3754780036,0.2096771498,0.6218845747,0.6196886569,0.5901761107,0.3116473829,0.0000000000,0.0400414432,0.1167188593,0.0129050946,0.5783965465,0.6066557818,0.2931492831
0.1209052070,0.1871891092,0.1875583595,0.1894746828,0.7945358691,0.8135622234,0.8194337556,0.8259965808,0.6125316782,0.2938080798,0.2941792699,0.3756204460,0.2118746031,0.6259249969,0.6236138989,0.5944762612,0.3137146006,0.0000450221,0.0389596538,0.1167188593,0.0137265244,0.5503608009,0.5761461135,0.2743734914
0.1157286949,0.1821526436,0.1823176216,0.1844957758,0.7919590067,0.8113678656,0.8173203291,0.8236700004,0.6122129991,0.2939645897,0.2947284914,0.3757519312,0.2138715284,0.6294906022,0.6271466167,0.5981607084,0.3160110193,0.0001950956,0.0378778645,0.1168404731,0.0146690070,0.5200949392,0.5436835702,0.2547523442
0.1105184543,0.1770341694,0.1770025267,0.1794359564,0.7889272106,0.8087913028,0.8148250651,0.8209268266,0.6117956811,0.2941015358,0.2952777128,0.3758943735,0.2156428595,0.6325813908,0.6302600473,0.6011805868,0.3185586777,0.0004652280,0.0368265480,0.1170938352,0.0157066026,0.4882202080,0.5099244462,0.2347085192
0.1053114259,0.1718577234,0.1716431036,0.1743231253,0.7854749704,0.8058635248,0.8119760834,0.8178016554,0.6112948996,0.2942287000,0.2958269342,0.3760368159,0.2172053073,0.6352063213,0.6329631116,0.6035554426,0.3213972452,0.0008554192,0.0357904681,0.1174688111,0.0168220178,0.4553737834,0.4754930209,0.2146758173
0.1001429443,0.1666473428,0.1662708110,0.1691782083,0.7816449875,0.8026169968,0.8088074236,0.8143377318,0.6107334173,0.2943363005,0.2963659849,0.3762011724,0.2185588717,0.6374012291,0.6352914938,0.6053243682,0.3245531680,0.0014106912,0.0348305705,0.1179755354,0.0180022827,0.4222406295,0.4410455884,0.1950546700
0.0950451319,0.1614185809,0.1609056681,0.1640249210,0.7774848903,0.7990886110,0.8053560857,0.8105797423,0.6101339970,0.2944439010,0.2969152063,0.3763874432,0.2197202634,0.6392288259,0.6372808778,0.6065362288,0.3280617080,0.0021310442,0.0339316187,0.1186140079,0.0192257808,0.3894101343,0.4071904213,0.1762455090
0.0900468986,0.1561912330,0.1555691241,0.1588772139,0.7730390225,0.7953152600,0.8016546294,0.8065738149,0.6095118139,0.2945417197,0.2974644277,0.3766175423,0.2207061930,0.6407697407,0.6389937107,0.6072692090,0.3319669421,0.0030615001,0.0331240858,0.1194044977,0.0204708954,0.3574398267,0.3744397490,0.1585820273
