L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.8606842953,0.8819307582,0.8861576231,0.8767497321,0.2071949488,0.2044069238,0.2033930318,0.1916335563,0.3657281849,0.0981374646,0.0968879041,0.0971697178,0.7121619557,0.7594798412,0.7511261415,0.7503692762,0.0389039089,0.1241148747,0.1909562921,0.0661909794,0.5506607749,0.0872780043,0.0731485742,0.1927947438
0.8542198878,0.8761533619,0.8804517823,0.8710848088,0.2102532761,0.2007562384,0.1996119851,0.1891749018,0.3661781697,0.0959491719,0.0954275355,0.0972121933,0.7031932773,0.7585738268,0.7493872968,0.7501826946,0.0391178928,0.1181714763,0.1852941835,0.0647134187,0.5759716735,0.1040586921,0.0882502153,0.2132763177
0.8477127778,0.8703359084,0.8746896753,0.8653708289,0.2138253819,0.1974026882,0.1961259136,0.1867207752,0.3665551839,0.0938976476,0.0941560077,0.0972546688,0.6935523300,0.7570016255,0.7469364842,0.7500583068,0.0392495751,0.1131915585,0.1804041806,0.0637876053,0.6016600405,0.1232234584,0.1057586805,0.2358409191
0.8411667332,0.8644898426,0.8688770437,0.8596133670,0.2178946101,0.1943637518,0.1929604675,0.1843311713,0.3668835512,0.0920326255,0.0930733206,0.0973113027,0.6833919022,0.7547232659,0.7437873954,0.7499650159,0.0393113012,0.1090242147,0.1761296242,0.0632826162,0.6275945825,0.1447492687,0.1256857679,0.2605344296
0.8345892897,0.8586220315,0.8630242220,0.8538179978,0.2224404606,0.1916580730,0.1901401307,0.1820706127,0.3671267863,0.0903914060,0.0922172424,0.0973820952,0.6729106188,0.7516854531,0.7399400304,0.7498561766,0.0393195314,0.1055301465,0.1723250453,0.0630862316,0.6536358004,0.1684863981,0.1479370922,0.2873201439
0.8279854711,0.8527393419,0.8571346551,0.8479914106,0.2274385900,0.1893124523,0.1876928853,0.1800002264,0.3673092125,0.0889864226,0.0915751838,0.0974812046,0.6623223835,0.7478881872,0.7354080808,0.7496384980,0.0392907259,0.1025932719,0.1688785444,0.0631329898,0.6796277833,0.1943081565,0.1723828738,0.3161154750
0.8213603012,0.8468440629,0.8512175293,0.8421369504,0.2328633734,0.1873513595,0.1856455470,0.1781766111,0.3674065065,0.0878052420,0.0911471447,0.0976227895,0.6518716578,0.7433048205,0.7302052384,0.7492186893,0.0392289997,0.1001091171,0.1657006020,0.0633200228,0.7054105174,0.2220187501,0.1988225439,0.3467827779
0.8147188039,0.8409384835,0.8452739929,0.8362624216,0.2386814983,0.1858050909,0.1840237659,0.1766507058,0.3674308300,0.0868727309,0.0909205358,0.0977785329,0.6418029030,0.7379220295,0.7243588866,0.7484257172,0.0391508133,0.0979732083,0.1627240785,0.0636005723,0.7308157831,0.2514223850,0.2270083413,0.3791477022
0.8080634911,0.8350248927,0.8393097873,0.8303700541,0.2448596526,0.1847062730,0.1828578557,0.1754689216,0.3673943448,0.0861640225,0.0908449995,0.0979909102,0.6323453018,0.7317264903,0.7178690253,0.7471040970,0.0390643968,0.0961158963,0.1599377839,0.0639278801,0.7556794637,0.2822771981,0.2567043028,0.4129808398
0.8013993866,0.8291021459,0.8333260608,0.8244643074,0.2513555552,0.1840886978,0.1821746324,0.1746754055,0.3672970508,0.0856666832,0.0909205358,0.0982457631,0.6237433155,0.7246782317,0.7107493462,0.7450827956,0.0389779802,0.0944907483,0.1573193385,0.0642551878,0.7798333395,0.3143758782,0.2876272726,0.4480436059
0.7947277463,0.8231690987,0.8273262584,0.8185496414,0.2581230813,0.1839873222,0.1820044095,0.1743120408,0.3671267863,0.0853682797,0.0910967872,0.0985572499,0.6162261268,0.7167239587,0.7029861577,0.7422218767,0.0388997938,0.0930281151,0.1548799320,0.0645544406,0.8031214997,0.3474765623,0.3195530858,0.4840331816
