L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.1928222689,0.2759917278,0.2816486999,0.2749692596,0.6934393385,0.7352537765,0.7325082556,0.7206351969,0.3622099635,0.3214559301,0.3243107658,0.3388102113,0.3888917440,0.2443053690,0.2428511327,0.2583899773,0.1241836092,0.0113010501,0.0583689605,0.0567153968,0.0658989097,0.3725012056,0.4105065834,0.2770494652
0.1870208771,0.2705385643,0.2762011466,0.2694717417,0.7046383324,0.7450150483,0.7424087722,0.7315530228,0.3621252813,0.3221881759,0.3255593583,0.3399445437,0.3800010278,0.2544784250,0.2520684863,0.2653471945,0.1266092270,0.0112724639,0.0574924423,0.0559909851,0.0631638273,0.4136556782,0.4496942647,0.3108468162
0.1808383961,0.2647184874,0.2703801276,0.2636097090,0.7162898799,0.7550903003,0.7526347310,0.7428705281,0.3621615736,0.3230218097,0.3268525434,0.3411361657,0.3711873988,0.2656396483,0.2622929920,0.2733306677,0.1293195040,0.0112343491,0.0565533156,0.0552665734,0.0605447787,0.4575580284,0.4913992412,0.3469320771
0.1743145918,0.2585648527,0.2642179425,0.2574199110,0.7282336541,0.7653235752,0.7630301694,0.7544227819,0.3623551330,0.3239680966,0.3281903212,0.3423850772,0.3627592055,0.2777890389,0.2735246497,0.2824336932,0.1323344867,0.0111962343,0.0555515804,0.0545421618,0.0580997808,0.5038079033,0.5352198170,0.3849770244
0.1674980669,0.2521180916,0.2577559755,0.2509450566,0.7402934093,0.7755516859,0.7734287271,0.7660306873,0.3627422516,0.3250045061,0.3295615433,0.3436798203,0.3550119485,0.2909012593,0.2857634595,0.2927229108,0.1356782308,0.0111485907,0.0545051249,0.0538479339,0.0558827064,0.5518593669,0.5806114707,0.4245086303
0.1604363195,0.2454206567,0.2510376292,0.2442298409,0.7522883516,0.7856093797,0.7836650835,0.7775151473,0.3633955143,0.3261423035,0.3309550618,0.3450203951,0.3482668243,0.3049256341,0.2989711751,0.3042249767,0.1393707827,0.0111104759,0.0534050051,0.0531939512,0.0539059878,0.6009845045,0.6269047088,0.4649380237
0.1531812659,0.2385160118,0.2441093346,0.2373189593,0.7640388241,0.7953427651,0.7935811963,0.7886990889,0.3643512134,0.3273589582,0.3323820247,0.3464182593,0.3428964206,0.3197988193,0.3131095501,0.3169398907,0.1434321889,0.0110818897,0.0522691090,0.0526103973,0.0521530486,0.6503735112,0.6733050658,0.5055604896
0.1457804043,0.2314445880,0.2370144945,0.2302561138,0.7753731292,0.8046103444,0.8030325401,0.7994155573,0.3656577387,0.3286544701,0.3338201358,0.3478619552,0.3392219339,0.3354574708,0.3280638458,0.3308276689,0.1478905144,0.0110723610,0.0511063807,0.0520972724,0.0505824482,0.6991164936,0.7189734434,0.5456230451
0.1382790235,0.2242437842,0.2297934835,0.2230790471,0.7861309403,0.8132861124,0.8118901856,0.8095147993,0.3673755777,0.3299950433,0.3352805431,0.3493400247,0.3375645605,0.3517875694,0.3437703183,0.3458483273,0.1527658056,0.0110723610,0.0499168202,0.0516646376,0.0491237376,0.7462671629,0.7630171837,0.5842665174
0.1307190986,0.2169469562,0.2224826389,0.2158195424,0.7961701237,0.8212678189,0.8200449589,0.8188632509,0.3695168276,0.3313581471,0.3367632468,0.3508524680,0.3382069533,0.3686877645,0.3601014801,0.3618952419,0.1580781089,0.0111009472,0.0486914835,0.0513225544,0.0476774592,0.7908519331,0.8045347021,0.6206606943
