L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.6058191918,0.6498373320,0.6460089226,0.6335012321,0.3435110805,0.4098050092,0.4139185519,0.4097845253,0.3112179591,0.6044142253,0.6043634343,0.6011410438,0.4992615639,0.6868101727,0.6947393875,0.6549854792,0.1561025134,0.1752761149,0.2197239723,0.2332302465,0.0636799186,0.0463555708,0.0514084628,0.0778648244
0.6158531042,0.6595161856,0.6552813172,0.6426118867,0.3386635326,0.4053462658,0.4092777626,0.4052961161,0.3064313143,0.6147410826,0.6140005983,0.6103571670,0.5001476872,0.6887082264,0.6939919541,0.6548146461,0.1459656302,0.1863116141,0.2306589858,0.2424100531,0.0638754718,0.0449200003,0.0500834581,0.0773686270
0.6265143491,0.6697529413,0.6651153834,0.6522994667,0.3335016040,0.4005832290,0.4043359262,0.4005077901,0.3019673648,0.6251212260,0.6237018676,0.6196183017,0.5011519603,0.6905623944,0.6932884873,0.6546893685,0.1355739530,0.1989301115,0.2431574735,0.2530490461,0.0640905802,0.0434760836,0.0487756612,0.0768533450
0.6377267830,0.6804610281,0.6754319522,0.6624945751,0.3280568454,0.3955423132,0.3991227233,0.3954474706,0.2980304839,0.6353201965,0.6332428736,0.6287106430,0.5022940748,0.6923397626,0.6926509706,0.6545754798,0.1251038776,0.2132862679,0.2573497250,0.2653105671,0.0643330661,0.0420572058,0.0475108840,0.0763285209
0.6493983517,0.6915410496,0.6861432958,0.6731174576,0.3223664417,0.3902531024,0.3936731349,0.3901461836,0.2948035324,0.6450822205,0.6423778794,0.6374203857,0.5035838765,0.6939854739,0.6920903955,0.6545071465,0.1147200401,0.2295074510,0.2733660298,0.2793361791,0.0646068404,0.0406967524,0.0463149381,0.0757941544
0.6614335914,0.7028882657,0.6971531277,0.6840842166,0.3164675777,0.3847515201,0.3880232018,0.3846390916,0.2924478578,0.6541728390,0.6508825163,0.6455337249,0.5049918280,0.6954556426,0.6916287454,0.6544729799,0.1045831569,0.2476755399,0.2912901455,0.2952565554,0.0649158144,0.0394114161,0.0452050316,0.0752502457
0.6737313562,0.7143990048,0.7083673011,0.6953088829,0.3103996917,0.3790703203,0.3822079048,0.3789623915,0.2911248077,0.6623362783,0.6585644686,0.6528481084,0.5065179292,0.6967283260,0.6912660204,0.6544615910,0.0948343447,0.2678451209,0.3111592976,0.3131805906,0.0652717211,0.0382178895,0.0441639564,0.0747063370
0.6861950459,0.7259717330,0.7196895294,0.7067044516,0.3041954614,0.3732443698,0.3762622247,0.3731481434,0.2909634602,0.6693913655,0.6651993675,0.6592059955,0.5081424886,0.6977815812,0.6909802370,0.6544729799,0.0855912006,0.2900252916,0.3329920989,0.3331627319,0.0656784716,0.0371161727,0.0432089206,0.0741528861
0.6987269239,0.7375113290,0.7310310150,0.7181911684,0.2978875644,0.3673053658,0.3702147823,0.3672273731,0.2920606237,0.6751356133,0.6706483183,0.6644498458,0.5098359687,0.6986044368,0.6907713953,0.6544729799,0.0769438826,0.3141887589,0.3567513238,0.3552247583,0.0661517101,0.0361229583,0.0423227161,0.0735898928
0.7112372090,0.7489301532,0.7423061698,0.7296913502,0.2915041709,0.3612807793,0.3640952581,0.3612269698,0.2945023503,0.6794411348,0.6747617420,0.6684558774,0.5115786779,0.6992188357,0.6905955286,0.6544729799,0.0689629490,0.3402627413,0.3823625213,0.3793775590,0.0666992589,0.0352298999,0.0414881352,0.0730173574
