L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.7916823294,0.8144656092,0.8153605322,0.8187191168,0.2563831585,0.3367230288,0.3393376958,0.3315010475,0.5578675137,0.5324038609,0.5412805284,0.5809054706,0.6392969050,0.6591007350,0.7143289214,0.5245234462,0.0738932266,0.6785474610,0.6771690742,0.6394353744,0.1231723388,0.0413621566,0.0433955933,0.0301865903
0.7993792751,0.8210192325,0.8216330140,0.8250401331,0.2506573375,0.3313165265,0.3341071844,0.3264648095,0.5576850848,0.5432562178,0.5506758487,0.5870362607,0.6383184428,0.6593024932,0.7027350107,0.5268875123,0.0702832999,0.7086906271,0.7067502498,0.6720245050,0.1269655056,0.0404210162,0.0425660813,0.0332258730
0.8071897420,0.8276248065,0.8279380263,0.8314373177,0.2445560529,0.3255745037,0.3285027786,0.3209857060,0.5567300160,0.5537255503,0.5598407660,0.5933373507,0.6371070135,0.6594321948,0.6918756211,0.5273513481,0.0665418218,0.7391973007,0.7366584901,0.7049188956,0.1312005569,0.0395086863,0.0413917161,0.0366342115
0.8149627254,0.8341460833,0.8341464328,0.8377795454,0.2381256854,0.3195381469,0.3225545505,0.3150844502,0.5549164583,0.5635692763,0.5685192770,0.5996646405,0.6356859136,0.6594466061,0.6820964095,0.5257054792,0.0627074837,0.7694057117,0.7662305805,0.7373817118,0.1359048658,0.0386155634,0.0398631771,0.0404007511
0.8225482920,0.8404595574,0.8401379690,0.8439356907,0.2314247632,0.3132516565,0.3163005910,0.3088004955,0.5522551429,0.5726086512,0.5765961804,0.6058216307,0.6341366818,0.6593457271,0.6736134115,0.5219199808,0.0588189775,0.7986168071,0.7947760516,0.7686234882,0.1411214478,0.0377704578,0.0379059017,0.0445254920
0.8298018628,0.8464603474,0.8458140573,0.8497842698,0.2245184402,0.3067582283,0.3097819985,0.3021959813,0.5488211875,0.5808436750,0.5840458758,0.6116249214,0.6325874501,0.6591151463,0.6664986390,0.5163090642,0.0548956487,0.8261408545,0.8216226038,0.7978652856,0.1468659448,0.0369733696,0.0354826082,0.0490084340
0.8365981363,0.8520621957,0.8510958360,0.8552163328,0.2174796007,0.3000980443,0.3030438810,0.2953458690,0.5448077522,0.5883509525,0.5909067636,0.6168256131,0.6312245920,0.6587836864,0.6606512753,0.5094562648,0.0509452359,0.8512974424,0.8461161079,0.8243281650,0.1531735511,0.0362146952,0.0326119375,0.0538387226
0.8428321590,0.8571974683,0.8559251442,0.8601393208,0.2103811288,0.2933082731,0.2961303438,0.2883290658,0.5405045768,0.5952581584,0.5972300445,0.6211748061,0.6303043716,0.6583657588,0.6559272968,0.5020797798,0.0469716081,0.8734527627,0.8676296902,0.8473279229,0.1600638191,0.0354848313,0.0294057339,0.0589403758
0.8484246803,0.8618093137,0.8602536792,0.8644761009,0.2032992214,0.2864210602,0.2890854925,0.2812185605,0.5362979815,0.6016163628,0.6030285188,0.6244367009,0.6300947012,0.6578613633,0.6521826797,0.4949875812,0.0429631579,0.8920009694,0.8855909876,0.8661908822,0.1675758536,0.0347741743,0.0260131231,0.0641939931
0.8533039464,0.8658389197,0.8640351093,0.8681717164,0.1963012411,0.2794645333,0.2819474182,0.2740715607,0.5325098994,0.6072978908,0.6081613845,0.6263754978,0.6308168994,0.6573137340,0.6492878026,0.4887332795,0.0389237543,0.9063921408,0.8995003180,0.8803907327,0.1757292070,0.0340635174,0.0225925512,0.0694259012
