L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.3854905318,0.4575669986,0.4610680260,0.4497669240,0.7508768820,0.7877868213,0.7851629035,0.7662207670,0.5084377776,0.5429079362,0.5529302570,0.5771820136,0.5515525097,0.2864735516,0.2891989586,0.3259108254,0.1010585459,0.0389574065,0.0587119172,0.0212283330,0.1263787738,0.2623783079,0.3052407990,0.2503046264
0.3792121878,0.4517037633,0.4552026575,0.4439065689,0.7629801476,0.7990434388,0.7965134840,0.7781770352,0.5047863417,0.5421269512,0.5522139607,0.5759053761,0.5388797427,0.2848614610,0.2873874102,0.3219904866,0.1018731175,0.0373578540,0.0574110746,0.0209929382,0.1180939114,0.2874192901,0.3280748335,0.2684544633
0.3725223185,0.4454573409,0.4489490979,0.4376624004,0.7757444634,0.8108254726,0.8083964665,0.7907480480,0.5009923572,0.5414384512,0.5515178418,0.5746396500,0.5254316781,0.2835936188,0.2859213198,0.3182443852,0.1028188154,0.0356971164,0.0560688038,0.0207575433,0.1098375613,0.3156468502,0.3539642988,0.2897488306
0.3654612494,0.4388636847,0.4423413493,0.4310706625,0.7890457522,0.8229982492,0.8206742101,0.8038022743,0.4971435464,0.5408629885,0.5508620777,0.5734503039,0.5113423179,0.2828127624,0.2849270746,0.3148293346,0.1039234541,0.0339926753,0.0546768193,0.0205328483,0.1017930169,0.3471948078,0.3830644173,0.3144432216
0.3580765437,0.4319653712,0.4354247481,0.4241741044,0.8027390833,0.8354081271,0.8331937809,0.8171885932,0.4932947356,0.5404313915,0.5502769343,0.5723482493,0.4967935220,0.2826196474,0.2845057843,0.3118585890,0.1052108747,0.0322707527,0.0532765492,0.0203188530,0.0941354253,0.3820547991,0.4153915281,0.3426850360
0.3504188665,0.4248087613,0.4282446303,0.4170210512,0.8166722276,0.8478986193,0.8458003330,0.8307474883,0.4895665428,0.5401642124,0.5497825890,0.5713880433,0.4819958651,0.2830982368,0.2847585585,0.3094802502,0.1067208125,0.0305663115,0.0518679935,0.0201262572,0.0870073480,0.4201013683,0.4508230873,0.3744447938
0.3425357810,0.4174364312,0.4208463321,0.4096561107,0.8306877424,0.8603151360,0.8583371089,0.8443194433,0.4860466901,0.5400717273,0.5494193965,0.5705915087,0.4671886366,0.2843240974,0.2857612295,0.3077901486,0.1084810821,0.0289055740,0.0504760090,0.0199657608,0.0805228343,0.4610585126,0.4891140068,0.4095554420
0.3344748504,0.4098919034,0.4132751897,0.4021220322,0.8446302707,0.8725078291,0.8706578653,0.8577468073,0.4828448304,0.5401539363,0.5491772682,0.5699804685,0.4526206976,0.2863308144,0.2875643521,0.3068841148,0.1105314186,0.0273235029,0.0491171670,0.0198480633,0.0747592746,0.5045247733,0.5298639761,0.4476632208
0.3262784681,0.4022130236,0.4055689833,0.3944597061,0.8583475831,0.8843391799,0.8826230499,0.8708803254,0.4800486858,0.5404211154,0.5490864701,0.5695767456,0.4385696236,0.2891519731,0.2901763521,0.3068318436,0.1129115574,0.0258463206,0.0477914675,0.0197517655,0.0697451814,0.5499481449,0.5725419713,0.4882669706
0.3179859254,0.3944329068,0.3977626594,0.3867025884,0.8716989198,0.8956858959,0.8941093594,0.8835800707,0.4777350132,0.5408424363,0.5491470021,0.5693912512,0.4252938474,0.2927791772,0.2936140812,0.3077030300,0.1156572600,0.0244827677,0.0465071961,0.0197089664,0.0654764814,0.5966678933,0.6165189331,0.5306886522
