L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.2423133939,0.3034372789,0.3047920274,0.3069891787,1.0000000000,1.0000000000,0.9953965638,0.9932924287,0.3553784440,0.2142978075,0.2307349430,0.2183564474,0.2801174273,0.4386633334,0.4266693340,0.4175777165,0.1614658483,0.0544604471,0.0285680056,0.0380407545,0.0000000000,0.7054162439,0.7238283016,0.6008470651
0.2383422069,0.2991191803,0.3003655575,0.3025687816,0.9965832762,0.9974445750,0.9930745959,0.9902014125,0.3566240895,0.2151654956,0.2305545237,0.2183344689,0.2836535895,0.4452353140,0.4339823953,0.4233410971,0.1685445096,0.0542024936,0.0269996515,0.0379062916,0.0017175242,0.6795429289,0.6972547345,0.5753689365
0.2341984202,0.2945307964,0.2956647895,0.2978638150,0.9928848975,0.9946471283,0.9905150314,0.9868800593,0.3578275098,0.2160437653,0.2303847174,0.2182795226,0.2868161196,0.4517090425,0.4411398595,0.4290450613,0.1764825612,0.0538693035,0.0253332752,0.0377840527,0.0035352753,0.6525221047,0.6693248606,0.5484613857
0.2299349271,0.2897018714,0.2907235231,0.2929049053,0.9889092880,0.9916076598,0.9877070703,0.9833402832,0.3589570358,0.2169220350,0.2302042982,0.2181806194,0.2894448892,0.4579425989,0.4479527874,0.4345707767,0.1853433264,0.0534608770,0.0235797682,0.0376495899,0.0054395860,0.6246799053,0.6403275230,0.5203758851
0.2256101890,0.2846724957,0.2855794581,0.2877290593,0.9846652953,0.9883261696,0.9846493626,0.9795953218,0.3599915549,0.2177897232,0.2300344919,0.2180267698,0.2914064585,0.4637503957,0.4542433538,0.4397756441,0.1951810826,0.0529879622,0.0217718045,0.0375395749,0.0074076774,0.5963666232,0.6106143568,0.4914300840
0.2212882347,0.2794788796,0.2802741941,0.2823771119,0.9801691404,0.9848094180,0.9813446084,0.9756544416,0.3609099546,0.2186468298,0.2298646856,0.2178289633,0.2925940753,0.4689577625,0.4598337334,0.4445170644,0.2060365377,0.0524505589,0.0199529494,0.0374784554,0.0094213265,0.5679567087,0.5805118802,0.4619548673
0.2170317013,0.2741624065,0.2748467310,0.2768873462,0.9754340950,0.9810641655,0.9777982075,0.9715322042,0.3617227911,0.2195039363,0.2297054922,0.2176311567,0.2929677075,0.4734227792,0.4646016716,0.4486643217,0.2179503996,0.0518701634,0.0181776597,0.0375029032,0.0114668659,0.5398366913,0.5503842869,0.4322678843
0.2129004419,0.2687579938,0.2693360685,0.2712980450,0.9704749054,0.9771052849,0.9740209598,0.9672405234,0.3624300644,0.2203610429,0.2295569116,0.2174223609,0.2924873232,0.4770362769,0.4684582555,0.4521461166,0.2309498071,0.0513005159,0.0164786094,0.0376618138,0.0135078496,0.5123206262,0.5205832119,0.4027529614
0.2089543098,0.2633018518,0.2637760063,0.2656449390,0.9653077927,0.9729408886,0.9700223152,0.9627899896,0.3630317745,0.2212181495,0.2294189440,0.2172135651,0.2911662663,0.4797655047,0.4713923713,0.4549149159,0.2450528525,0.0507738607,0.0149538207,0.0379918589,0.0155351660,0.4857346475,0.4914226152,0.3737277480
0.2052475902,0.2578263113,0.2582016442,0.2599599306,0.9599460284,0.9685844974,0.9658144235,0.9581925167,0.3635279215,0.2220540929,0.2292809764,0.2169937801,0.2890312250,0.4816541304,0.4734595892,0.4570063694,0.2602731052,0.0503761823,0.0136577503,0.0385541580,0.0175169247,0.4603324153,0.4632038981,0.3455363642
0.2018276090,0.2523611167,0.2526428820,0.2542749222,0.9544014097,0.9640455758,0.9614080845,0.9534613424,0.3639396179,0.2228582917,0.2291536217,0.2167520165,0.2861222311,0.4827785723,0.4747710501,0.4584798935,0.2766241344,0.0502042132,0.0126993117,0.0394342782,0.0194349026,0.4363313524,0.4361907872,0.3184699887
0.1987416919,0.2469373054,0.2471270195,0.2486154357,0.9486842590,0.9593362926,0.9568154481,0.9486070570,0.3642563074,0.2236201642,0.2290368798,0.2164772852,0.2825593808,0.4832916671,0.4754712368,0.4594543208,0.2941059402,0.0503654342,0.0121765270,0.0407544587,0.0212572095,0.4139005653,0.4106093334,0.2928065648
0.1960260292,0.2415781558,0.2416800566,0.2430069930,0.9428078480,0.9544661122,0.9520473141,0.9436362794,0.3645096590,0.2243291289,0.2289307509,0.2161585969,0.2784494262,0.4833571686,0.4757379746,0.4600484837,0.3127139995,0.0509995701,0.0122200924,0.0426247143,0.0229747337,0.3931487655,0.3866227960,0.2687975647
0.1937168111,0.2363095323,0.2363266930,0.2374738400,0.9367824991,0.9494417951,0.9471158324,0.9385609235,0.3646891164,0.2249640227,0.2288352348,0.2158179301,0.2738857753,0.4831497473,0.4757490886,0.4603812149,0.3324256967,0.0522570937,0.0129498127,0.0452284034,0.0245646964,0.3741121902,0.3643693173,0.2466018132
0.1918418763,0.2311560063,0.2310903286,0.2320376704,0.9306200093,0.9442741579,0.9420304529,0.9333849606,0.3648052359,0.2255142639,0.2287397188,0.2154442955,0.2690419002,0.4828113230,0.4756490620,0.4605832303,0.3532229394,0.0542992261,0.0145290581,0.0487244368,0.0260270977,0.3567546021,0.3438991310,0.2263648997
0.1904234958,0.2261408561,0.2259930632,0.2267189015,0.9243351250,0.9389686088,0.9368019753,0.9281163334,0.3648685738,0.2260010158,0.2286760414,0.2150706609,0.2640378970,0.4824838157,0.4755712634,0.4607258295,0.3750695428,0.0572979364,0.0170885249,0.0533450683,0.0273437144,0.3410276852,0.3252499121,0.2081132950
