L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.4089289903,0.4533921164,0.4617935218,0.4587728769,0.1281148287,0.0564414175,0.0527684423,0.0503122404,0.5307406390,0.2104095744,0.2032072186,0.3192005319,0.2739003171,0.1167425535,0.1068055376,0.1562877553,0.0554181451,0.0606147904,0.0704916486,0.0508847529,0.9694824019,0.3793019127,0.3232294528,0.8289639121
0.4062113146,0.4507786114,0.4591677283,0.4561975645,0.1310351567,0.0625445090,0.0591203076,0.0563824397,0.5297716327,0.2102552728,0.2024472598,0.3191223061,0.2807464021,0.1120915423,0.1034092379,0.1511501062,0.0555941362,0.0597932204,0.0703448565,0.0513038809,0.9637956233,0.3788447431,0.3261764180,0.8292180520
0.4032999489,0.4479849038,0.4563638004,0.4534474672,0.1342473923,0.0691463327,0.0659634774,0.0629205430,0.5287881637,0.2101106150,0.2016873010,0.3190440803,0.2877713635,0.1072340610,0.0998296459,0.1458834293,0.0557843967,0.0589503110,0.0701770941,0.0517623021,0.9572213406,0.3778666128,0.3288707861,0.8286027661
0.4002105326,0.4450279937,0.4533986493,0.4505369659,0.1377565466,0.0762352903,0.0732757259,0.0699094320,0.5278119260,0.2099852449,0.2009465816,0.3189658544,0.2948695016,0.1022461776,0.0961098892,0.1405581035,0.0559841703,0.0580753924,0.0699569060,0.0522731143,0.9496630861,0.3762505715,0.3311967836,0.8268772906
0.3969611116,0.4419260149,0.4502914416,0.4474848667,0.1415651254,0.0837858652,0.0810278090,0.0773182935,0.5268501511,0.2098984502,0.2002347215,0.3188974068,0.3019269859,0.0972039599,0.0923254410,0.1352914267,0.0561982135,0.0572004737,0.0697052625,0.0528101219,0.9410436855,0.3739009324,0.3330281119,0.8238409887
0.3935709345,0.4387016343,0.4470602162,0.4443099756,0.1456656118,0.0917690614,0.0891858032,0.0851163141,0.5259245332,0.2098212994,0.1995709600,0.3188289592,0.3088543784,0.0922052096,0.0885409928,0.1301420478,0.0564265261,0.0563362248,0.0694221635,0.0533864229,0.9313100814,0.3707539045,0.3342279478,0.8193333512
0.3900616560,0.4353741188,0.4437252669,0.4410344171,0.1500492359,0.1001500836,0.0977169548,0.0932703983,0.5250350722,0.2097827240,0.1989552971,0.3187605116,0.3155622408,0.0873585951,0.0848535817,0.1252272647,0.0566643518,0.0554826457,0.0690971239,0.0539496261,0.9204478037,0.3667456968,0.3347015672,0.8131938685
0.3864537279,0.4319627355,0.4403068875,0.4376747849,0.1547034696,0.1088941365,0.1065826614,0.1017440268,0.5241962310,0.2097537924,0.1984165921,0.3186920640,0.3219773965,0.0827619182,0.0813602450,0.1206174563,0.0569212036,0.0546717455,0.0687511140,0.0544997315,0.9084375588,0.3618656772,0.3343752960,0.8053289104
0.3827651959,0.4284890178,0.4368208620,0.4342487787,0.1596145317,0.1179641052,0.1157513391,0.1105063863,0.5234224723,0.2097345047,0.1979548450,0.3186236164,0.3280510611,0.0785238473,0.0781364558,0.1163830012,0.0571970814,0.0539035242,0.0683736487,0.0549974459,0.8952986403,0.3561138459,0.3331754602,0.7956582221
0.3790141057,0.4249676995,0.4332818472,0.4307729920,0.1647698942,0.1273251943,0.1251902343,0.1195266637,0.5227065647,0.2097152170,0.1975796754,0.3185649470,0.3337181885,0.0747095835,0.0752576875,0.1125590888,0.0575014983,0.0531886517,0.0679752131,0.0554296716,0.8810599885,0.3495008346,0.3310599602,0.7841416763
0.3752136906,0.4214146474,0.4297056270,0.4272595933,0.1701582815,0.1369437685,0.1348654235,0.1287774694,0.5220702023,0.2096959293,0.1972910835,0.3184964994,0.3389462558,0.0713951947,0.0728101954,0.1092160980,0.0578296978,0.0525271278,0.0675662923,0.0557964086,0.8657553672,0.3420585390,0.3280182712,0.7708060245
0.3713807934,0.4178411950,0.4261034759,0.4237207512,0.1757709240,0.1467908317,0.1447511718,0.1382325552,0.5214989225,0.2096669978,0.1971179283,0.3184280518,0.3436946093,0.0686350152,0.0708155432,0.1063657584,0.0581816798,0.0519296224,0.0671364013,0.0560714613,0.8494330103,0.3338401182,0.3240398682,0.7556512667
0.3675274444,0.4142552757,0.4224844132,0.4201653156,0.1816003047,0.1568362279,0.1548217442,0.1478690964,0.5209782624,0.2096284224,0.1970409704,0.3183498259,0.3479551183,0.0664616455,0.0693168586,0.1040197999,0.0585526879,0.0513961354,0.0666960251,0.0562679275,0.8321556219,0.3248987316,0.3191563260,0.7387442819
0.3636656742,0.4106659564,0.4188552037,0.4166010301,0.1876401595,0.1670556005,0.1650514057,0.1576676923,0.5205009907,0.2095802031,0.1970698296,0.3182716001,0.3517033905,0.0648859524,0.0683141415,0.1021899523,0.0589379655,0.0509159971,0.0662556489,0.0563727095,0.8139859060,0.3152981703,0.3133886942,0.7201920762
0.3598039039,0.4070766371,0.4152237392,0.4130334260,0.1938879827,0.1774280724,0.1754214398,0.1676123654,0.5200598759,0.2095223400,0.1971660270,0.3181835960,0.3549556875,0.0638862024,0.0678181740,0.1008527559,0.0593327562,0.0504785378,0.0658047875,0.0563858073,0.7949865669,0.3051128571,0.3067790723,0.7000882801
0.3559493519,0.4034907179,0.4115945297,0.4094669280,0.2003412687,0.1879339261,0.1859143001,0.1776859976,0.5196259925,0.2094548330,0.1973103229,0.3180858137,0.3577364013,0.0634297947,0.0677966102,0.0999964811,0.0597323034,0.0500730877,0.0653434410,0.0563203185,0.7752299552,0.2944065832,0.2993906097,0.6785934031
0.3521068303,0.3999093320,0.4079698299,0.4059037488,0.2070000175,0.1985592436,0.1965101004,0.1878783176,0.5191993405,0.2093776822,0.1974834781,0.3179782532,0.3600861859,0.0634841290,0.0682171044,0.0995624787,0.0601366071,0.0496996468,0.0648820945,0.0561893411,0.7547884219,0.2832537716,0.2912864555,0.6558679543
0.3482799483,0.3963324795,0.4043541495,0.4023472070,0.2138629764,0.2092877871,0.2071959732,0.1981767719,0.5187726885,0.2093005314,0.1976662530,0.3178609145,0.3620294333,0.0639622703,0.0690580929,0.0995155596,0.0605361543,0.0493368757,0.0643997777,0.0559666793,0.7337391413,0.2717501090,0.2825508088,0.6320991948
0.3444699089,0.3927612938,0.4007463612,0.3987973026,0.2209326508,0.2201079581,0.2179590509,0.2085745132,0.5183388051,0.2092137367,0.1978394082,0.3177240192,0.3636311895,0.0648098845,0.0702548842,0.0997970746,0.0609309449,0.0489634348,0.0639174609,0.0557047244,0.7121496409,0.2599593863,0.2732573437,0.6074743854
0.3406803212,0.3891957749,0.3971475924,0.3952540355,0.2282090409,0.2310081583,0.2287876360,0.2190612703,0.5178904589,0.2091172982,0.1979837042,0.3175675676,0.3649239776,0.0659509036,0.0717320050,0.1003249153,0.0613162226,0.0485899939,0.0634141738,0.0554034761,0.6901067417,0.2479666585,0.2635113090,0.5822075386
0.3369087792,0.3856336560,0.3935567156,0.3917185122,0.2356921466,0.2419791089,0.2396723701,0.2296313372,0.5174276499,0.2090208597,0.1980991410,0.3174111159,0.3659647126,0.0672983928,0.0734139820,0.1010521624,0.0616967437,0.0481952136,0.0629004016,0.0550760324,0.6676779711,0.2358569803,0.2534284782,0.5564859153
0.3331552829,0.3820760704,0.3899759857,0.3881896262,0.2433819679,0.2530115312,0.2506074044,0.2402767253,0.5169648410,0.2089147773,0.1981953383,0.3172546642,0.3667696561,0.0687871510,0.0752361237,0.1019201670,0.0620677518,0.0477790937,0.0623761442,0.0547354910,0.6449453269,0.2237047748,0.2431351499,0.5305101522
0.3294186291,0.3785218850,0.3864020204,0.3846673776,0.2512785048,0.2640996258,0.2615868901,0.2509940108,0.5165020320,0.2088086949,0.1982530567,0.3170982125,0.3673794617,0.0703411104,0.0771337387,0.1028702802,0.0624292469,0.0473416344,0.0618518868,0.0544080473,0.6219811598,0.2116269921,0.2327470978,0.5044675102
0.3256964119,0.3749699662,0.3828359471,0.3811506602,0.2593792518,0.2752352741,0.2726026388,0.2617763464,0.5160536858,0.2086929687,0.1982819159,0.3169613173,0.3677941296,0.0719276703,0.0790313538,0.1038438530,0.0627812289,0.0468721659,0.0613276294,0.0540937013,0.5988626443,0.1997086873,0.2223800954,0.4785452503
0.3219850221,0.3714191808,0.3792743836,0.3776394740,0.2676804502,0.2864149963,0.2836523108,0.2726203084,0.5156053397,0.2085868863,0.1982819159,0.3168439786,0.3680217904,0.0734707627,0.0808966231,0.1047939662,0.0631236979,0.0463813578,0.0608033720,0.0538186486,0.5756573077,0.1880455468,0.2121604412,0.4529038817
0.3182820536,0.3678695288,0.3757184572,0.3741327127,0.2761795945,0.2976306737,0.2947312272,0.2835190494,0.5151642249,0.2084904478,0.1982434369,0.3167461963,0.3680543134,0.0749595210,0.0826756372,0.1056971602,0.0634518974,0.0458692103,0.0602791146,0.0535697914,0.5524471477,0.1767438893,0.2022144338,0.4277039138
0.3145838973,0.3643198767,0.3721647857,0.3706303763,0.2848704206,0.3088799865,0.3058335390,0.2944702870,0.5147086473,0.2083940092,0.1981760988,0.3166679704,0.3678673063,0.0763722113,0.0843360504,0.1065182457,0.0637705838,0.0453357234,0.0597758275,0.0533602274,0.5292996918,0.1659312970,0.1926473219,0.4030791044
0.3108869440,0.3607690913,0.3686133691,0.3671313586,0.2937466644,0.3201571355,0.3169580765,0.3054694561,0.5142386069,0.2083072146,0.1980799015,0.3166093011,0.3674445077,0.0776762331,0.0858670807,0.1072337630,0.0640702442,0.0447915666,0.0592620553,0.0531768589,0.5062776441,0.1556821927,0.1835643544,0.3791765870
0.3071875846,0.3572149058,0.3650630799,0.3636345534,0.3027995560,0.3314574813,0.3281013304,0.3165119920,0.5137324096,0.2082300637,0.1979452252,0.3165799664,0.3667696561,0.0788715865,0.0872579463,0.1078437122,0.0643508785,0.0442260704,0.0587692534,0.0530458814,0.4834485320,0.1461241588,0.1750707798,0.3560899922
0.3034810069,0.3536584537,0.3615139182,0.3601399607,0.3120203258,0.3427752248,0.3392609611,0.3275967534,0.5131755926,0.2081625568,0.1977816898,0.3165506317,0.3658102285,0.0799800050,0.0885086471,0.1083246337,0.0646124868,0.0436499045,0.0582869366,0.0529410994,0.4608702363,0.1373316181,0.1672613221,0.3339129504
0.2997648050,0.3500963347,0.3579647564,0.3566464742,0.3214014568,0.3541034069,0.3504334592,0.3387168929,0.5125753872,0.2081046937,0.1975989149,0.3165408534,0.3645662249,0.0809906219,0.0896407470,0.1086765275,0.0648645820,0.0430630688,0.0578046198,0.0528625129,0.4385958143,0.1293896254,0.1601886058,0.3127524678
0.2960365725,0.3465296824,0.3544167221,0.3531552002,0.3309316736,0.3654339087,0.3616141458,0.3498678456,0.5119317935,0.2080468305,0.1973776611,0.3165310752,0.3630051224,0.0819251709,0.0906758097,0.1089111234,0.0651071643,0.0424548937,0.0573223030,0.0528232197,0.4166783232,0.1223726038,0.1539368297,0.2926887991
0.2922963097,0.3429550967,0.3508686878,0.3496639262,0.3405971952,0.3767574514,0.3727983417,0.3610450466,0.5112520429,0.2079986113,0.1971275480,0.3165212970,0.3611269209,0.0828053856,0.0916246172,0.1090284213,0.0653497465,0.0418360488,0.0568504713,0.0527970242,0.3951611736,0.1163230807,0.1485586183,0.2737754474
0.2885452194,0.3393759775,0.3473217809,0.3461726521,0.3503854933,0.3880659162,0.3839790283,0.3722416485,0.5105433666,0.2079503920,0.1968678153,0.3165115188,0.3588990975,0.0836529998,0.0925195152,0.1090284213,0.0655875722,0.0412065341,0.0563786397,0.0527970242,0.3740877761,0.1113048471,0.1440960711,0.2560926674
0.2847833018,0.3357900583,0.3437748740,0.3426813781,0.3602840398,0.3993477046,0.3951503567,0.3834496627,0.5098202276,0.2078828851,0.1965792233,0.3165017405,0.3563053907,0.0844571466,0.0933712856,0.1089228532,0.0658349109,0.0405450103,0.0559068080,0.0527970242,0.3535015411,0.1073604304,0.1405807626,0.2397073380
0.2810117598,0.3321984722,0.3402290946,0.3391889978,0.3702778007,0.4105946977,0.4063041385,0.3946611005,0.5091043200,0.2077960904,0.1962906313,0.3164724058,0.3533295390,0.0852504265,0.0941799284,0.1087117169,0.0660870062,0.0398728167,0.0554349764,0.0528101219,0.3334410557,0.1045004625,0.1380442676,0.2246595864
0.2772342025,0.3286012195,0.3366833151,0.3356944051,0.3803555008,0.4217952971,0.4174310156,0.4058668322,0.5084028752,0.2076803642,0.1960116591,0.3164332929,0.3499634117,0.0860328396,0.0949670074,0.1084067423,0.0663533709,0.0391792836,0.0549526596,0.0528101219,0.3139545540,0.1027887345,0.1365392104,0.2110296675
0.2734530362,0.3249983000,0.3331386631,0.3321987061,0.3905033588,0.4329425437,0.4285216297,0.4170554455,0.5077448187,0.2075164187,0.1957423066,0.3163746235,0.3462232702,0.0867935190,0.0957109587,0.1080079293,0.0666435183,0.0384750808,0.0544703428,0.0527839264,0.2950661528,0.1022252464,0.1360761159,0.1988710842
0.2696706668,0.3213908471,0.3295951385,0.3286996885,0.4007100995,0.4440248392,0.4395666226,0.4282200929,0.5071446133,0.2073042539,0.1954921936,0.3163159542,0.3421091146,0.0875433316,0.0964441282,0.1075152781,0.0669479352,0.0377495385,0.0539670557,0.0527315354,0.2768192627,0.1028525256,0.1367181333,0.1882774672
0.2658895004,0.3177799941,0.3260527414,0.3251984584,0.4109619418,0.4550352244,0.4505566363,0.4393516447,0.5066094905,0.2070245822,0.1952613200,0.3162377283,0.3376453370,0.0882714104,0.0971341700,0.1069287884,0.0672808912,0.0370133265,0.0534427983,0.0526398512,0.2592235304,0.1047130995,0.1384863124,0.1792889436
0.2621083341,0.3141634744,0.3225125991,0.3216950158,0.4212451046,0.4659632608,0.4614799729,0.4504375474,0.5061322187,0.2066774035,0.1950593056,0.3161595025,0.3328644605,0.0889668887,0.0978026480,0.1062601903,0.0676281167,0.0362771145,0.0529080557,0.0525088737,0.2423127198,0.1078282318,0.1414438024,0.1719991440
0.2583307769,0.3105435546,0.3189724568,0.3181893607,0.4315483126,0.4768019894,0.4723284441,0.4614709534,0.5057055667,0.2062434301,0.1948861505,0.3160714984,0.3277827466,0.0896080328,0.0984279984,0.1055094835,0.0679896118,0.0355195630,0.0523628281,0.0523255052,0.2261013009,0.1122510818,0.1456327029,0.1664749472
0.2545544227,0.3069191015,0.3154345694,0.3146814932,0.4418577847,0.4875432911,0.4830915218,0.4724393094,0.5053150717,0.2057515936,0.1947322348,0.3159834943,0.3224571103,0.0902057094,0.0990210031,0.1046649385,0.0683701329,0.0347513417,0.0517861449,0.0520897458,0.2106085673,0.1180348087,0.1511161631,0.1627832321
0.2507804746,0.3032935150,0.3118978094,0.3111714131,0.4521647511,0.4981790472,0.4937586783,0.4833346267,0.5049607336,0.2051922502,0.1946167980,0.3158759338,0.3169119441,0.0907381850,0.0995924440,0.1037382849,0.0687554105,0.0339724507,0.0512094618,0.0518146931,0.1958393425,0.1252006762,0.1579152327,0.1610310051
0.2470101356,0.2996679285,0.3083610494,0.3076602269,0.4624566837,0.5087022986,0.5043193854,0.4941443518,0.5046208582,0.2046136190,0.1945206007,0.3157683733,0.3112122937,0.0912163264,0.1001315392,0.1027412525,0.0691549577,0.0332042295,0.0506013232,0.0514872493,0.1818032732,0.1337912117,0.1661035858,0.1612583933
0.2432409997,0.2960457420,0.3048231620,0.3041479344,0.4727248126,0.5191049263,0.5147642850,0.5048593549,0.5043026771,0.2040253440,0.1944532625,0.3156608128,0.3053825514,0.0916401334,0.1006490706,0.1016621116,0.0695640179,0.0324573477,0.0499826995,0.0511336101,0.1684955360,0.1438595745,0.1757127972,0.1635322758
0.2394766760,0.2924303556,0.3012830197,0.3006334295,0.4829591154,0.5293799714,0.5250840189,0.5154682236,0.5039989587,0.2034852883,0.1944051639,0.3155336958,0.2994877632,0.0920096063,0.1011450382,0.1005243217,0.0699825912,0.0317318054,0.0493326203,0.0507406777,0.1559113075,0.1554376601,0.1867849663,0.1679061555
0.2357135553,0.2888206360,0.2977417500,0.2971189246,0.4931495694,0.5395181550,0.5352692290,0.5259618282,0.5037024717,0.2029838080,0.1943666849,0.3153968006,0.2935685828,0.0923464786,0.1016410057,0.0993513425,0.0704106774,0.0310489421,0.0486720560,0.0503084520,0.1440554111,0.1685361004,0.1993516677,0.1744067842
0.2319540437,0.2852199832,0.2941959706,0.2936044196,0.5032861521,0.5495136780,0.5453070478,0.5363298975,0.5034059847,0.2025594785,0.1943282060,0.3152501271,0.2876575331,0.0926398835,0.1021261914,0.0981666334,0.0708482767,0.0303980880,0.0479905214,0.0498500308,0.1329182001,0.1831974228,0.2134234263,0.1830475375
